scale,outcome,sample,N,R2,beta_scale,se_scale,p_scale,beta_omega,p_omega,beta_kappa,p_kappa,baseline_controlled
STAI_Trait,pre_at_lowT,confirmatory,278,0.258415011251505,-0.1665406308284882,0.052928947576912015,0.0018345992317426018,0.2846696752180969,1.2336996218509165e-06,-0.5430541593497786,8.467631031179259e-19,False
STAI_Trait,pre_at_midT,exploratory,289,0.16656688362187277,-0.0978875505549366,0.05416738752694762,0.07179634975451263,0.2428437772729317,4.001382552908928e-05,-0.41187387782722423,1.0979059376060859e-11,False
STAI_Trait,pre_at_midT,confirmatory,278,0.24996937993645996,-0.1445506059431584,0.05322948820892173,0.007035777897750443,0.286131196544484,1.249435187044388e-06,-0.5357795856556755,3.115588306271848e-18,False
STAI_Trait,pre_at_highT,exploratory,289,0.18806897260933886,-0.07993736642976793,0.053464078117147554,0.13597904330343935,0.32026927071164574,5.7285755670558575e-08,-0.41871460662633064,2.942764105027449e-12,False
STAI_Trait,pre_at_highT,confirmatory,278,0.25482094927654,-0.12538115863495122,0.05305705156509654,0.01881945590469344,0.3254408589100349,3.860292943334126e-08,-0.5336849577146628,3.2592359429795003e-18,False
STAI_Trait,pre_slope_T,exploratory,289,0.05267709372729801,0.033407915562235185,0.057749939423379165,0.5633884116069445,0.217910639662004,0.0005169280124922287,0.02634676986718063,0.6711225281088523,False
STAI_Trait,pre_slope_T,confirmatory,278,0.04918054293112062,0.13504387569565898,0.05993242129986773,0.02503307470981704,0.1797545648214699,0.006052472383476218,-0.020920896412649954,0.745849935720722,False
STAI_Trait,abs_peak_strike,exploratory,289,0.21730765113124473,0.021223663872577892,0.0524925968143902,0.686282669022134,0.1259996526491855,0.026253502018806444,-0.49706431193238343,1.149587429582614e-16,False
STAI_Trait,abs_peak_strike,confirmatory,278,0.3018460644341029,0.032271462310782546,0.05135566874089627,0.5302709910146536,0.23514583794828406,3.2793595445717916e-05,-0.583512672146071,4.277148689066274e-22,False
STAI_Trait,peak_post,exploratory,289,0.5935279845852461,-0.004472895050707092,0.03794731898937641,0.9062530538898519,0.26798746204473106,3.4670168367441113e-10,-0.3838178009630268,3.721092504128121e-18,True
