subj,z,kappa,beta_param,anx_threat_slope,conf_threat_slope
227,0.1712605511943715,2.909138589758342,0.3426931411472839,2.708333393869302,-1.2500000395812088
228,0.5083152773792681,1.9257580007494128,0.4808890319663476,3.541666753590108,-1.458333373690645
229,0.2040251210539913,0.4410354441394755,1.6900758136243943,2.2174559568861213e-15,-0.6250000139698388
230,0.2563690298935323,2.038457285409068,1.4308284010194443,4.583333509508525,-1.8750000690730935
231,0.2324939005571269,0.9055099980526112,1.1868154372961883,3.125000089251749,-1.458333389212688
232,0.2659857038039191,1.942676504344308,0.2346553948000242,-1.041666686069219,3.5416667613511303
233,0.6814380978211271,0.6068557585789693,1.0301390001670585,1.4583333659296236,0.624999994567285
234,0.3633194005726413,2.264972738123816,2.518625516103385,1.6666667310831464,-1.8750000651925798
235,0.214844622980102,1.4777756959188293,0.3155608269164669,2.291666706247876,-5.4166668692293305
236,0.2918073410921864,1.3515462679015424,1.643228009201578,2.2916667217699205,-2.9166667667838455
237,0.362261556615649,1.640038968701597,0.3948047622028128,1.8750000690730937,-1.875000084595136
238,0.1634337793752095,0.579206265865952,0.3827998928585288,8.750000277068473,-5.833333440435429
239,0.2396151144318414,2.2366849313401116,0.2718360939172165,0.4166666643383605,7.761022714829077e-09
240,0.3574693084697175,4.507809411511942,0.4914592340752256,-1.8930458867757656e-16,-1.8750000496705375
241,0.4731169013381047,0.8944754445136843,0.6820175518824886,0.41666666821887205,-0.6250000023283053
242,0.2551040771318559,0.6496032646015449,2.5310552268046003,2.9166667202177154,-3.333333427241693
243,0.2878430527631296,1.952845427303244,1.889005309798054,4.1666668218871,-1.87500006131207
244,0.3100815378935417,0.7132769075254891,1.1581276398068858,1.4583333038414512,-3.125000077610215
245,0.3398963108847765,4.256787378155876,0.4432752152670911,-1.2500000434617187,-0.8333333636013177
246,0.2349441540816052,3.1640958077826182,1.491929686642494,3.541666807917263,-1.8750000574315588
247,0.2113891150498352,3.557053727732895,0.2385172216838003,0.8333333868843845,-1.4583333736906443
248,0.3596406504988165,1.3412710790544475,0.3340503387790837,2.29166671788941,-2.291666717889408
249,0.3983653443875606,0.918509136438528,0.5664576468313337,5.20833350795632,-6.66666690104952
250,0.2332585813955789,2.2311042056799857,0.2969622871562237,3.1250000543271503,-0.8333333325572295
251,0.4023003354740623,0.5575072935893118,0.463118580077353,4.5833334629423925,-3.9583334528530623
252,0.3401381695335043,1.2504925314527244,0.361579445925895,1.8750000729536034,-2.7083333977498096
253,0.309936324781942,2.215819326617044,2.0602929165734456,1.6666667272026354,-1.458333381451667
254,0.1737572186950407,1.8561204691654376,0.2971212399714198,-4.268561780835339e-08,1.4583334202567775
255,0.1535636694969862,1.6020012822137473,0.1972328819713706,0.8333333441987628,-0.20833330306534698
256,0.3571103645107132,2.4749607089824734,0.2769184516985441,-0.20833337291454437,1.1641532951753964e-08
257,0.2482568660342828,1.8995219430967671,0.5525737866490232,0.6250000217308622,-2.0833333993020164
258,0.2294293000188972,1.151826798770774,0.6544863557181007,-4.166666794723522,-2.500000079162417
259,0.3526092406911417,3.1656400639352404,3.816462137829911,1.6666666845170148,-3.1250001008932795
260,0.4264609276284502,1.2203658640380204,1.614328538254584,1.8750000613120714,-2.2916667489334945
261,0.1879945239437465,0.4388389778331847,2.048996828521159,2.9166667512618036,3.1250001008932844
262,0.2297602062220161,4.200512518558133,0.6812973180407214,0.8333333674818312,-0.20833334187045718
263,0.3538704079954256,4.720821377259383,0.8640883244471308,0.41666668374091503,1.8750000263874729
264,0.1999404865076892,1.8049129718012809,0.3713874037898644,3.1250001125348152,-3.3333334466442484
265,0.2881831163899392,0.980326048172866,0.7349688327035897,3.7500001148631195,-3.5416667729926616
266,0.2468712456144789,1.192438990489138,1.0085929594961272,4.5833334939864825,-4.166666825767608
267,0.1896885725120074,1.8275492163221916,0.3202407705155558,-0.4166666798604014,0.6250000217308623
268,0.2529463633070318,4.75864930262735,0.807162370090749,-0.4166666643383573,0.20833333410943672
269,0.2882128590293172,1.2834966787185644,1.5487366368422448,3.3333334233611858,-2.291666741172473
270,0.4683651137226464,3.791454555737015,13.579611963389231,1.0416667054717748,-1.4583333814516675
271,0.2745027984331953,0.9451890987414848,0.6670993850742631,5.000000173846885,-4.375000144355003
272,0.7188830378267997,1.5595515880173338,0.4778325215516656,2.9166667667838464,-3.7500001032215855
273,0.5030839395533532,1.9098543724031092,2.7233522216408064,1.0416667287548411,-0.6250000411334155
274,0.2855674879921436,0.8697331994672525,4.021067744600238,3.541666807917262,-4.166666825767608
275,0.3409847358451576,4.543108098132654,0.9466781394631764,-1.041666682188707,-1.6666667039195668
276,0.1887752186074921,3.2011899185621697,0.4079887360673112,3.125000081490727,-3.3333334427637364
277,0.2896468504342808,1.3766597609122533,1.6182862195151413,2.50000006752089,-3.880510102494714e-09
278,0.1919421353150507,0.7647991218662498,0.3348231218591033,-1.6666667233221237,-0.41666667986040085
279,0.3189827335230507,1.5397830680229598,0.8960937955467684,2.2916667605750303,-0.8333333636013175
280,0.3276727587757825,2.6735372109243225,0.6339883719862462,1.041666713232798,2.29166676445554
281,0.1907664741450734,4.0309334270481365,0.6923417282744129,-1.2500000512227434,-0.6250000139698385
282,0.6639543369348421,2.3542613763946454,0.6171539195201486,1.8750000380290062,-0.6250000178503463
283,0.3483651136620951,1.2717109218796745,0.8360160315344246,-0.8333333674818263,-0.8333333830038719
284,0.4627467677678711,3.811841413150311,13.40019121482917,1.0416666821887104,-0.6250000100893278
285,0.5192067353551006,1.0601647909002494,1.5003488527950055,2.50000007916242,-3.958333495538688
286,0.2104655839584031,3.158640441056973,0.6542388014259054,0.6250000411334156,-3.125000104773792
287,0.2415237297792325,3.671535988659483,0.9137102959608836,1.875000069073094,-0.6250000372529027
288,0.8693228567121097,4.190909590694638,0.9152949806561868,0.4166666876214254,0.4166666876214255
289,0.3932485935240774,1.0409574613235657,1.0272971190046445,3.7500001071020987,-2.708333421032877
290,0.2709556548689409,2.375812065384048,1.0139907113976665,2.7083334249133895,-3.5416668195587944
291,0.1968628092333115,1.870685317116609,0.3318948679699229,-0.8333333674818275,-1.4583333736906443
292,0.3986353411929439,4.6321936663360646,2.8315845644425255,-0.6250000178503475,1.2500000473422328
293,0.219494464626281,1.518939885377096,0.2830157255519012,-1.6666666961585477,-2.0833333721384406
