subj,subj_idx,alpha_bayes,alpha_sd,rho_bayes,rho_sd,gamma_bayes,gamma_sd,alpha_ols,rho_ols
179,178,0.0038101077,0.031154819,-0.053722013,0.031034611,0.6191809,0.023458429,1.5558087631744645e-39,-0.1385274
180,179,0.061720476,0.030005869,0.07588172,0.030111874,0.6660301,0.024408782,0.05909677784327253,0.08242732
181,180,0.098592274,0.029665893,0.05930058,0.030296858,0.6981512,0.025003688,0.09609211652676931,0.05374956
182,181,0.46955717,0.031136919,0.069479324,0.029423023,0.6363759,0.023869136,0.47216625235271587,0.072131336
183,182,0.6672582,0.029835112,0.058031872,0.030205771,0.7447782,0.023741715,0.6713646208174798,0.04946381
184,183,0.06468479,0.031028658,0.07453915,0.029441932,0.65438634,0.024498109,0.062135838315260865,0.079203784
185,184,0.03700196,0.030730257,0.06695837,0.029366069,0.5881068,0.023705287,0.03324706837524194,0.06932986
186,185,0.04393174,0.03034546,0.09081231,0.028823325,0.5179059,0.023565667,0.0405773416291845,0.11047077
187,186,0.059368797,0.029587675,0.08761314,0.029623613,0.6250461,0.023808088,0.05679942538028648,0.10177004
188,187,0.09661951,0.030173348,0.053247955,0.029672956,0.65328735,0.024057219,0.09419244089078344,0.043480158
189,188,0.79904974,0.030208193,0.05814854,0.02936611,0.6745336,0.02366327,0.8046872490718041,0.052637815
190,189,0.016245874,0.03052824,0.07174142,0.02989325,0.6506342,0.023835529,0.012177083709076341,0.075907886
191,190,0.10199541,0.03042162,0.05133073,0.029546717,0.6170303,0.023544207,0.09929234911485467,0.042729974
192,191,0.36960822,0.0296297,0.034655046,0.02938737,0.5039291,0.023784282,0.37029555076582404,0.016014159
193,192,0.010590449,0.02989506,0.015856065,0.03034949,0.4453961,0.024786625,0.006411387081584513,-0.012953073
194,193,0.06263589,0.031224964,0.055317402,0.029314457,0.7042441,0.024051143,0.06002079837402473,0.045691967
195,194,0.2794759,0.030290086,0.113172226,0.029848991,0.66643506,0.02413593,0.2787446072184586,0.14408183
196,195,0.5302891,0.02956054,0.03514352,0.029102674,0.6013134,0.023829592,0.5325876356264756,0.016201854
197,196,0.2035556,0.030984929,0.08919769,0.029334586,0.46685424,0.024028413,0.20216692300592748,0.10958913
198,197,0.592983,0.03010006,0.083796196,0.029543944,0.75801957,0.023440989,0.5965727744969279,0.09249884
199,198,0.6982442,0.029988633,0.0439909,0.030263163,0.6369184,0.02436582,0.7028948160717128,0.028699577
200,199,0.6984438,0.031633582,0.095230505,0.029875843,1.1959939,0.023923317,0.703047542896923,0.10217309
201,200,0.021500142,0.030776594,0.043809406,0.029568255,0.67201006,0.024885539,0.017712463106785835,0.028312862
202,201,0.51857,0.030049054,0.06814773,0.03057571,0.6160671,0.024312336,0.5204299466661546,0.07009059
203,202,0.3986938,0.03052328,0.03817781,0.02973539,0.78618485,0.024119828,0.3999888516608329,0.01633799
204,203,0.26786828,0.031095011,0.04395514,0.029092638,0.74070704,0.024223754,0.26727750277161916,0.027409375
205,204,0.32399678,0.0308586,0.098225854,0.029447332,0.9699799,0.024080599,0.32385442752586174,0.11392343
206,205,0.00447177,0.031132001,0.024431862,0.030399786,0.43196017,0.02361794,0.0012371462161854395,-0.0007893145
