subj,event_idx,rating,p_threat,dist_safety,pre_threat,pre_effort_H,pre_term_mean,pre_onset_slope,fol_threat,fol_onset_slope,fol_term_mean
5,15,5,0.5,5.0,0.1,0.8,0.05471072718501091,-0.28203698436614993,0.1,-0.28203698436614993,-0.49309834837913513
5,26,6,0.1000000014901161,9.0,0.1,0.6,0.12355861812829971,-0.28203698436614993,0.5,-0.28203698436614993,-0.3566015660762787
5,3,0,0.8999999761581421,5.0,0.5,1.0,0.24789182841777802,-0.28203698436614993,0.5,-0.28203698436614993,-0.46834149956703186
5,36,6,0.5,9.0,0.1,0.8,-0.3566015660762787,-0.28203698436614993,0.1,-0.28203698436614993,0.03228413313627243
5,40,6,0.8999999761581421,7.0,0.9,0.6,-0.46834149956703186,-0.28203698436614993,0.1,-0.29718938831150277,-0.13864962756633759
5,42,3,0.5,9.0,0.1,1.0,-0.13864962756633759,-0.29718938831150277,0.1,-0.28203698436614993,0.11933539062738419
5,48,4,0.1000000014901161,7.0,0.9,0.6,-0.3098483979701996,-0.28203698436614993,0.1,-0.28203698436614993,0.0653110072016716
5,50,4,0.5,7.0,0.1,0.8,0.0653110072016716,-0.28203698436614993,0.5,-0.28203698436614993,-0.38837936520576477
5,54,3,0.8999999761581421,7.0,0.9,0.6,0.04767894744873047,-0.28203698436614993,0.9,-0.29718938831150277,-0.6385553479194641
5,56,1,0.8999999761581421,9.0,0.9,0.8,-0.6385553479194641,-0.29718938831150277,0.1,-0.28203698436614993,0.12727375328540802
5,58,6,0.1000000014901161,7.0,0.1,1.0,0.12727375328540802,-0.28203698436614993,0.5,-0.29718938831150277,0.011756283231079578
5,64,7,0.8999999761581421,9.0,0.9,0.8,0.15665535628795624,-0.28203698436614993,0.1,-0.28203698436614993,0.046471044421195984
5,68,6,0.1000000014901161,5.0,0.1,0.6,-0.3974617123603821,-0.28203697252829363,0.5,-0.28203698436614993,-0.5575739145278931
5,75,4,0.8999999761581421,4.0,0.5,1.0,0.14664600789546967,-0.28203698436614993,0.5,-0.29718938831150277,-0.1697988063097
5,77,5,0.1000000014901161,9.0,0.5,1.0,-0.1697988063097,-0.29718938831150277,0.9,-0.29718938831150277,-0.5166347026824951
5,80,4,0.1000000014901161,4.0,0.5,0.6,-0.39417770504951477,-0.28203698436614993,,,
6,0,5,0.5,7.0,,,,,0.9,0.035162130675049384,0.004576930310577154
6,13,1,0.5,4.0,0.5,1.0,0.1587975174188614,0.26972663757582854,0.1,0.4328114833621225,0.6719617247581482
6,15,5,0.5,5.0,0.1,0.8,0.6719617247581482,0.4328114833621225,0.1,0.6733910885327472,-0.026395421475172043
6,26,1,0.1000000014901161,9.0,0.1,0.6,-0.25471338629722595,0.17023298419353378,0.5,0.4545720528345291,0.26873430609703064
6,3,4,0.8999999761581421,5.0,0.5,1.0,0.02938637137413025,-0.16146056619045504,0.5,0.3235258861489541,-0.464758962392807
6,36,2,0.5,9.0,0.1,0.8,0.5080505609512329,-0.14184359381926612,0.1,0.16890016222562454,0.17022573947906494
6,40,7,0.8999999761581421,7.0,0.9,0.6,0.24205772578716278,0.11676079964806751,0.1,0.5147208684537744,0.2898867428302765
6,42,5,0.5,9.0,0.1,1.0,0.2898867428302765,0.5147208684537744,0.1,0.45779040268620824,0.3584291934967041
6,48,2,0.1000000014901161,7.0,0.9,0.6,-0.06261642277240753,-0.39415770788216636,0.1,0.020704777542703123,-0.16864314675331116
6,50,4,0.5,7.0,0.1,0.8,-0.16864314675331116,0.020704777542703123,0.5,-0.0072566281221560685,0.09852877259254456
6,54,4,0.8999999761581421,7.0,0.9,0.6,-0.06062469631433487,-0.3049784880661044,0.9,-0.5441495769506721,0.06773555278778076
6,56,7,0.8999999761581421,9.0,0.9,0.8,0.06773555278778076,-0.5441495769506721,0.1,-0.06258175758611895,-0.05209740996360779
6,58,3,0.1000000014901161,7.0,0.1,1.0,-0.05209740996360779,-0.06258175758611895,0.5,0.0877765272047216,-0.05676085874438286
6,64,5,0.8999999761581421,9.0,0.9,0.8,-0.021130969747900963,-0.3160374997605214,0.1,-0.14413941700967772,-0.46137985587120056
6,68,4,0.1000000014901161,5.0,0.1,0.6,0.07682950794696808,-0.2972482003974522,0.5,-0.12497758857477502,0.07929648458957672
6,75,7,0.8999999761581421,4.0,0.5,1.0,-0.06373538821935654,-0.29718654909512326,0.5,-0.20060373036034496,0.26068687438964844
