subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,rel_rate,subj_cookie_mean,rel_rate_cc
11,0.1,3,1,1.0593818349372255,6,0.05389148034095817,0.022001104719763055,1.0387165519791581,1.0273940249991744,1.0311348997168606
11,0.5,1,0,1.0229054961269117,12,0.09142379169642328,0.026391775373133128,1.002951754407263,1.01239600803475,1.0103808075187521
11,0.5,1,1,1.0297926814746947,5,0.10861515065491584,0.04857417205015452,1.0097045919407803,1.0273940249991744,1.0023346996548108
11,0.5,2,0,1.0379267913985393,2,0.004452460928860952,0.0031483653157657328,1.0176800303850462,1.01239600803475,1.0252181786190062
11,0.5,2,1,1.0003067328779733,3,0.05027472820970128,0.029026127865306308,0.9807938235585416,1.0273940249991744,0.9736349526451423
11,0.5,3,0,0.9921179482837299,2,0.06565006404111817,0.04642160546880578,0.9727647769786212,1.01239600803475,0.9799702294457051
11,0.5,3,1,0.974874426231329,3,0.05639851805581213,0.0325616995814191,0.9558576230332189,1.0273940249991744,0.9488807628914451
11,0.9,1,0,1.0821451818595533,14,0.06686452311152179,0.017870295486667315,1.061035855979747,1.01239600803475,1.068895149004192
11,0.9,1,1,1.1191459891262263,5,0.06700301117864153,0.029964657538524155,1.0973148912406843,1.0273940249991744,1.0893055263068379
11,0.9,2,0,0.9848381428254258,2,0.07476638852322125,0.0528678203295978,0.9656269781459871,1.01239600803475,0.9727795595887234
11,0.9,2,1,1.082243676395744,2,0.044929837569300794,0.0317701928228627,1.0611324291903184,1.0273940249991744,1.0533871621422108
11,0.9,3,0,1.040862695732514,2,0.0008982320250624172,0.0006351459560005601,1.0205586642507172,1.01239600803475,1.02811813506952
11,0.9,3,1,1.0327803311923414,2,0.00014971668335198946,0.00010586568205495082,1.012633961796758,1.0273940249991744,1.0052426878705774
12,0.1,1,0,0.8799468982253013,10,0.06697450494427015,0.021179198078610215,0.9325656390968168,0.9206260145106288,0.9558136358910615
12,0.1,1,1,0.9158714259514767,7,0.027200412515479083,0.01028078958204664,0.9706383685146711,0.9665267205558778,0.9475903836623701
12,0.1,2,0,0.9116236522053278,2,0.07969460466681137,0.056352595383883396,0.9661365879568836,0.9206260145106288,0.9902214773823372
12,0.1,2,1,0.9469488644472012,4,0.04159365436810547,0.020796827184052735,1.0035741642436047,0.9665267205558778,0.9797441129227996
12,0.1,3,0,0.92516363610317,2,0.00019947842073373583,0.00014105254400120779,0.9804862308302412,0.9206260145106288,1.0049288435488686
12,0.1,3,1,1.0090037943550776,2,0.00047454168621989144,0.000335551644281784,1.0693398320189684,0.9665267205558778,1.043948162938289
12,0.5,1,0,0.9342613562749136,13,0.04999536020871082,0.013866218059061453,0.9901279731255971,0.9206260145106288,1.0148109455407177
12,0.5,1,1,0.9956253503198566,6,0.0215089419710547,0.008780988789369514,1.0551613887095035,0.9665267205558778,1.0301063893476667
12,0.5,2,0,0.9675515804324918,2,0.00020002699632216633,0.0001414404455197804,1.0254088738592677,0.9206260145106288,1.050971366420497
12,0.5,2,1,0.9670750342584968,2,0.05787385736377513,0.0409229969953484,1.0249038313524903,0.9665267205558778,1.0005673032012024
12,0.5,3,0,0.9078264536073923,2,0.024917526726958867,0.017619352119029652,0.9621123258742477,0.9206260145106288,0.9860968941769039
12,0.5,3,1,0.926010726302321,2,0.00019984387731423285,0.0001413109608275065,0.981383975017461,0.9665267205558778,0.9580808337815483
