subj,baseline,cruising_rate,post_encounter_rate,encounter_spike,spike_peak,spike_peak_time,threat_gain_pre,threat_gain_post,ramp_speed,c_effort,c_death,log_ce,log_cd
32,0.6780671191491305,0.6581059905053617,0.6354368999453281,0.025673062326338113,0.056061999857877964,1.1,0.020537821494330033,0.03164175449298401,-0.016102153905696956,1.530295348400218,1.1348298706818274,0.42546075494495106,0.12648274602578796
33,0.8695155886232981,0.9220460318981247,1.121409949012432,0.11827509862656593,0.542131344093116,2.1,-0.19117048111564672,0.11426776331478172,0.07562982993557844,0.3707374323388712,22.01628279161004,-0.9922611964783034,3.0917823064908427
34,0.8401877164850846,0.8365567080542519,0.8273091928526005,0.053854015419295596,0.13990795479382923,2.3,0.01636922857204204,0.04310479099529374,0.015634107529404744,0.94282775092659,1.933698982990468,-0.05887167376850688,0.6594347401346049
35,1.0946176548118678,1.0982944893793614,1.09365182902074,0.018048152688577113,0.0771315033022919,1.7,-0.02758524185526956,0.019480374242887954,-0.0018396693224095129,3.1504231493769894,74.92489299378505,1.1475367769512061,4.316486185023996
36,0.9273475626858371,1.0087860238802644,0.999100007718989,0.05636505529836998,0.18554792114785423,2.5,0.012428345416435005,0.041719728110115706,0.08460116670903248,0.6027435153321632,35.01551262504491,-0.5062635204488029,3.555791181155817
37,0.879990170094992,0.8845010891104854,0.8749942585979303,0.07443385700167728,0.1353206536320417,0.9,0.012984093451967937,0.06231292896697538,0.009460132554248907,1.904595339385443,16.626169773008375,0.6442695657441745,2.810977946352826
38,1.1297097138347922,1.1574320783335008,1.0902889770269493,0.022289121462411222,0.08007439595845178,0.5,0.03140063865871756,0.04836175795226749,0.027065954331340125,0.631482943647646,39.0182943589119,-0.45968434682373366,3.66403062226909
39,0.8980666622340377,0.9687802044586578,0.9712746523566332,0.03898005790732202,0.08970075535415833,2.3,0.005465148743679871,0.03624047152401211,0.04153735049329391,0.152883555705689,27.90388981724641,-1.878078721172437,3.3287660990822485
40,0.8003636257085491,0.8339366386053657,0.8539271330307591,0.03490982099659853,0.1105016992102904,2.3,0.0294258230391915,0.04433525897753632,0.03150023729485343,0.3747701956392505,18.61879092692941,-0.9814422524861843,2.9241713356337047
41,0.626758891296951,0.7288873708988699,0.7644077605447105,0.05628225412254488,0.1527947623798408,2.3,-0.017717689419952776,0.0401152892494242,0.09362929780209522,1.2761768976185208,2.8130382794505358,0.24386880981099765,1.0342651374672234
42,1.229971936599711,1.2574186208606544,1.203540749612365,-0.04957721906234722,0.15330732366905342,2.1,-0.06248052550928862,-0.047632765762556595,0.02767188209616276,0.4816807476086864,92.11701103010826,-0.7304737337413527,4.523059627944413
43,0.8999881723784657,0.9106309157440269,0.8959224595758922,0.06844451665453188,0.1079318427782957,0.7,0.00618058049068182,0.052507457537793956,0.001427003608830643,1.8451191408647805,14.805580010043087,0.6125438504020763,2.695004137418598
44,0.8702711405970401,0.8603152283998394,0.8553471407564329,-0.013603986825593795,0.0728733176660803,1.3,-0.0667234573576887,-0.051824925819427214,0.0083331078396054,0.8065973439135524,7.063039821619113,-0.21493068948958483,1.9548755284710801
45,0.9028933963969925,0.8966534473411748,0.8840150087888912,0.10702592796793234,0.21641394043441775,2.3,0.005040696478258111,0.06453355965174301,-0.014839098580959005,1.0555714358264054,14.79756437018654,0.05408226562422986,2.6944625976450194
46,0.8692564169486902,0.9625324914170402,0.9357541726180776,0.011565935257155657,0.0700974821539464,2.9,0.0782544603589419,0.017010720096834908,0.0856234383059064,0.7940416572134437,30.676939822379858,-0.23061935410690443,3.4235112264909375
