subj,T_round,actual_dist,is_heavy,mean_rate,n_trials,sd_rate,sem,actual_R,actual_req,subj_cookie_mean,rel_rate,rel_rate_cc
12,0.1,1,1,0.9261520847086002,5,0.0001730655065451161,7.739724743906287e-05,5.0,0.9,0.9653705298107728,0.9593747230818617,0.9593747230818617
12,0.1,2,0,0.8681144121813301,3,0.052068453170991215,0.030061735454559202,1.0,0.4,0.9082872257328654,0.9557708041978448,0.9557708041978448
12,0.1,2,1,0.9261520372631483,2,0.0,0.0,5.0,0.9,0.9653705298107728,0.9593746739344614,0.9593746739344614
12,0.1,3,0,0.9056465935410267,5,0.04927562062485929,0.022036727470135204,1.0,0.4,0.9082872257328654,0.9970927344159134,0.9970927344159134
12,0.5,1,0,0.8549095728582907,1,,,1.0,0.4,0.9082872257328654,0.9412326284436004,0.9412326284436004
12,0.5,1,1,0.9991666543705189,4,0.020797822680596198,0.010398911340298099,5.0,0.9,0.9653705298107728,1.0350084485864415,1.0350084485864415
12,0.5,2,0,0.9283473299794889,5,0.054690719841466645,0.024458433460783188,1.0,0.4,0.9082872257328654,1.0220856395183118,1.0220856395183118
12,0.5,3,0,0.9427755556266236,5,0.037212853368018925,0.01664209395352446,1.0,0.4,0.9082872257328654,1.0379707309721666,1.0379707309721666
12,0.9,1,0,0.9290601048785876,4,0.062398138558482995,0.031199069279241497,1.0,0.4,0.9082872257328654,1.0228703856634793,1.0228703856634793
12,0.9,1,1,1.0100113429008235,1,,,5.0,0.9,0.9653705298107728,1.0462421543972356,1.0462421543972356
12,0.9,2,0,0.9257425047703274,5,0.0004951713548760057,0.00022144736200268415,1.0,0.4,0.9082872257328654,1.0192177964667266,1.0192177964667266
12,0.9,3,0,0.9117017320272479,5,0.019660507168363917,0.008792446100116725,1.0,0.4,0.9082872257328654,1.003759280321957,1.003759280321957
13,0.1,1,1,1.01399576588093,5,0.15500015661035507,0.06931817734077346,5.0,0.9,1.0040312408135919,1.0099245169495559,1.0099245169495559
13,0.1,2,1,0.9808938708129267,5,0.050938438627905945,0.02278036228793976,5.0,0.9,1.0040312408135919,0.9769555278161302,0.9769555278161302
13,0.1,3,1,0.9484018103342476,5,0.04540355143760226,0.02030508548687739,5.0,0.9,1.0040312408135919,0.9445939247525144,0.9445939247525144
13,0.5,1,0,1.0034833918454198,4,0.05809202418570342,0.02904601209285171,1.0,0.4,0.969285671674544,1.0352813635548699,1.0352813635548699
13,0.5,1,1,1.2093612131251243,1,,,5.0,0.9,1.0040312408135919,1.204505561146831,1.204505561146831
13,0.5,2,0,0.9462568877640706,3,0.11334038838309815,0.06543710374303846,1.0,0.4,0.969285671674544,0.9762414893942579,0.9762414893942579
13,0.5,2,1,1.0206584908152851,2,0.04879353157312624,0.03450223705339747,5.0,0.9,1.0040312408135919,1.016560490675788,1.016560490675788
13,0.5,3,0,0.9469411408669994,4,0.09853462743913301,0.049267313719566504,1.0,0.4,0.969285671674544,0.9769474248299348,0.9769474248299348
13,0.5,3,1,1.0050547185552339,1,,,5.0,0.9,1.0040312408135919,1.001019368422055,1.001019368422055
13,0.9,1,0,0.9419799883685206,3,0.06602622894802448,0.0381202610567178,1.0,0.4,0.969285671674544,0.9718290653581518,0.9718290653581518
13,0.9,1,1,1.0470713047484717,2,0.02190894482518894,0.015491963454533018,5.0,0.9,1.0040312408135919,1.0428672557041188,1.0428672557041188
13,0.9,2,0,0.9653835234513717,3,0.06484531718995036,0.03743846133530451,1.0,0.4,0.969285671674544,0.995974202098303,0.995974202098303
13,0.9,2,1,0.9104049722807,2,0.05879953498029413,0.04157754991518159,5.0,0.9,1.0040312408135919,0.9067496460996333,0.9067496460996333
13,0.9,3,0,1.0116690977508824,4,0.09096148726598899,0.045480743632994494,1.0,0.4,0.969285671674544,1.043726454764483,1.043726454764483
