subj,optimality_rate,overcautious_rate,overrisky_rate,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z,calibration_at,discrepancy,calibration_ca,disc_z,cal_z,k_group,b_group,profile
57,0.7555555555555555,0.08888888888888889,0.15555555555555556,0.6932341814224301,3.7867378246401397,-0.3663874127452425,1.3315049161666803,0.7600396419583749,-0.27438468659052445,0.4494562816959006,-0.7272154774358444,-1.800943689417527,0.05610465164173267,-1.2365900383141604,0.3653317161377302,-1.0017132214191071,-0.6745849728551316,High k,Low β,High k / Low β
58,0.6444444444444445,0.15555555555555556,0.2,0.5186993707459175,5.7043653111537465,-0.6564308107623652,1.7412317257936425,20.39275580232959,3.0151797300555487,0.03503443581010017,0.1973757684860283,-0.062248734191728224,0.9054199356927475,-0.4588122605363826,0.7772368183107035,-0.37803731742873153,1.8233108634205248,High k,High β,High k / High β
59,0.7333333333333333,0.1111111111111111,0.15555555555555556,0.7642880931064256,4.384275359206666,-0.26881047567654476,1.4780243577112635,7.769220237222399,2.050169803773766,0.5888768465229098,-0.39657908795275676,-0.5723034642582826,0.09698700320790431,0.48563218390806184,0.1273431447595446,0.37928342313101,-0.5543471086932948,High k,Low β,High k / Low β
60,0.4888888888888889,0.13333333333333333,0.37777777777777777,0.2312048240804915,5.296548890973961,-1.4644512770015443,1.6670554558196946,0.7639570091167025,-0.26924376218853324,-1.1194870441533125,0.029989284952058055,-1.798226460571754,0.4366408863756494,0.5411877394636173,0.12356827278327749,0.4238317019874654,0.44459879098818034,Low k,High β,Low k / High β
61,0.6444444444444445,0.17777777777777778,0.17777777777777778,0.6199657123827228,5.809785773046909,-0.4780911050807571,1.7595436980750612,29.830294569728004,3.3955244734268777,0.28985102714978395,0.23869864233550545,0.13878198075642986,0.6625383188236366,-0.7365900383141603,0.7582775846624266,-0.6007787117110084,1.108978988228685,High k,High β,High k / High β
62,0.5111111111111111,0.0,0.4888888888888889,0.20895712681990228,2.9388117136449914,-1.565626182893357,1.0780053206159137,1.899343587827618,0.6415083463896721,-1.2640484840745616,-1.2992637334539696,-1.316849628844991,-0.08874548141259071,-0.6254789272030492,0.18653856690623113,-0.5116821539980977,-1.1005993764987096,Low k,Low β,Low k / Low β
63,0.6,0.1111111111111111,0.28888888888888886,0.2913029535676941,6.516010297023726,-1.233391475803838,1.874262271006157,116.2668599014022,4.755888065361339,-0.7893425555112833,0.49757305763996407,0.8578003719453856,0.4430815860333103,-3.1254789272030497,0.6658094492516338,-2.51635470253859,0.4635413405450854,Low k,High β,Low k / High β
64,0.6444444444444445,0.26666666666666666,0.08888888888888889,0.5834053561572246,8.907863426354409,-0.5388730406560966,2.1869344177053427,39.41324964757469,3.6741020452440414,0.20300415488911291,1.203150342038009,0.2860237907378843,0.9056232611278273,-0.014367816091938145,0.44657326484409837,-0.021651086577088457,1.8239088577899092,High k,High β,High k / High β
65,0.7333333333333333,0.17777777777777778,0.08888888888888889,0.7925464776749918,6.013735525704485,-0.23250412804185713,1.7940461071617806,37.46909764396571,3.623516530422362,0.6407523372494753,0.3165569241351273,0.2592868832668255,0.2832189059257198,1.207854406130284,0.16805322524558117,0.95841104826493,-0.00662601722570922,High k,High β,High k / High β
66,0.4666666666666667,0.022222222222222223,0.5111111111111111,0.21237465009403064,2.7139586960585635,-1.5494033465768926,0.9984083424533042,19.21977270104886,2.9559395773041035,-1.2408688571024091,-1.4788826099389811,-0.09356003918230182,0.08163649575368585,-0.01436781609193817,0.03752225561636873,-0.021651086577088474,-0.5994940280701838,Low k,Low β,Low k / Low β
67,0.6444444444444445,0.0,0.35555555555555557,0.38750061946486386,2.8202830220618695,-0.9480378315710096,1.0368372423473373,1.1438832069964049,0.13442879595952564,-0.38162155657915997,-1.3921637924303578,-1.5848658597385534,0.3430323088661502,-0.34770114942527147,0.35879761730474524,-0.2889407597158208,0.16928939718405306,Low k,Low β,Low k / Low β
68,0.6444444444444445,0.044444444444444446,0.3111111111111111,0.48659351523925987,3.4572332643414865,-0.7203261753979238,1.2404686346079787,0.4751484422071831,-0.7441280138586874,-0.056260988036269347,-0.9326483341900521,-2.049225908558521,0.2939336171558733,-0.18103448275860481,0.2489417334045481,-0.15529592314645463,0.024886700220087758,Low k,Low β,Low k / Low β
69,0.5777777777777777,0.06666666666666667,0.35555555555555557,0.23942560602553709,4.803276600320109,-1.42951253240699,1.5692983100980187,127.9890835545496,4.851944975552587,-1.0695656216117349,-0.1906099022059955,0.9085711257628108,0.5504802278438972,0.7634099616858396,0.4186755545128176,0.602024817413287,0.7794082809358716,Low k,Low β,Low k / Low β
70,0.6666666666666666,0.26666666666666666,0.06666666666666667,0.8446871521881593,8.155579172168425,-0.1687889542753805,2.098702254050028,2.3952329347225123,0.8734804848903425,0.7317902995122089,1.0040452695661253,-1.1942410594784496,0.04247956641378392,1.3189655172413952,-0.18713302522896533,1.0475076059778408,-0.7146573044131609,High k,High β,High k / High β
71,0.6888888888888889,0.1111111111111111,0.2,0.4924860473011635,4.898958747394088,-0.708289149124273,1.589022682003325,9.69824697163753,2.271945144603233,-0.039062159580233465,-0.14609980141088869,-0.45508439891867747,0.17965583405853483,1.096743295019173,-0.092808746553635,0.8693144905520191,-0.3112122773187508,Low k,Low β,Low k / Low β
72,0.6888888888888889,0.3111111111111111,0.0,4.30976713717286,5.547808037334198,1.4608838741578882,1.713402901517678,83.75723100874474,4.42792250738098,3.0603108807990753,0.13457712630471438,0.6844546066936887,-0.05707346245419932,1.485632183908062,0.11551190189760942,1.181152442547207,-1.007449746710748,High k,High β,High k / High β
73,0.6444444444444445,0.2,0.15555555555555556,0.41972956522144267,9.795432871069544,-0.8681446674223161,2.281916243484802,36.597952598430815,3.59999229890904,-0.2674680444271468,1.4174867305143208,0.24685318157343275,0.6199603002211527,-0.6254789272030492,0.4873159090100122,-0.5116821539980977,0.9837540483492048,Low k,High β,Low k / High β
74,0.7777777777777778,0.2222222222222222,0.0,2.356814932913149,5.149619257133572,0.8573111028030452,1.638922781288964,0.5894863880441169,-0.5285036499513445,2.197909792750467,-0.03349502699512655,-1.9352579339986218,-0.33345688329798,-0.7365900383141604,0.4156282321154529,-0.6007787117110085,-1.8203127777966623,High k,Low β,High k / Low β
75,0.6666666666666666,0.15555555555555556,0.17777777777777778,0.4866457349843795,6.698207551361653,-0.7202188641789038,1.901839960956966,13.481798291851874,2.60134050102663,-0.05610765886630877,0.5598049890444053,-0.28098291557636684,0.5367141764624458,-1.4032567049808273,0.7306449668943809,-1.1353580579884734,0.7389213580305507,Low k,High β,Low k / High β
76,0.6,0.13333333333333333,0.26666666666666666,0.4078162836440755,4.682721285226937,-0.8969384911728823,1.5438794121430177,2.305000488032956,0.835080888176553,-0.30860943799238,-0.24797029449170627,-1.2145371159262641,-0.0207561202597439,0.3745210727969508,0.04517692468020068,0.2901868654180993,-0.9006378953810132,Low k,Low β,Low k / Low β
77,0.6444444444444445,0.3333333333333333,0.022222222222222223,5.79625712225541,7.566632533148101,1.7572123854923123,2.0237481247713767,2532.0229618751555,7.836773851894019,3.483713066455973,0.8349034654458783,2.4861985110925637,0.09304577545716317,0.5411877394636173,0.1551963602179284,0.4238317019874654,-0.5659385360151173,High k,High β,High k / High β
78,0.5777777777777777,0.17777777777777778,0.24444444444444444,0.24600091112096711,9.076356799330089,-1.4024200393128643,2.2056728785435267,71.84658580635191,4.2745330930432095,-1.0308551352690911,1.2454356317626643,0.6033808330522422,-0.01764338084229646,1.5411877394636173,0.5718249726715271,1.2257007214036622,-0.8914831103721212,Low k,High β,Low k / High β
79,0.4666666666666667,0.044444444444444446,0.4888888888888889,0.2169470972022981,3.149952619823829,-1.5281017468581821,1.1473874113986513,2253.590886755189,7.720280172693137,-1.2104325557209612,-1.1426958148940842,2.4246259298361137,0.23329439559966128,2.5411877394636173,-0.3781487474524746,2.0275697408198594,-0.1534575046761011,Low k,Low β,Low k / Low β
80,0.6444444444444445,0.24444444444444444,0.1111111111111111,0.5663339598641071,11.376520795487744,-0.568571339685624,2.4315516522070744,2.292870744355848,0.8298046326209318,0.16057042260068266,1.755154624666811,-1.217325873875681,0.6947214122960089,1.1522988505747285,0.1840209767574694,0.9138627694084746,1.2036317240180017,High k,High β,High k / High β
81,0.5777777777777777,0.13333333333333333,0.28888888888888886,0.23839230923703672,7.05023942729325,-1.4338376042230632,1.9530615775656963,53.795028207721295,3.9851810504015543,-1.0757454011132146,0.6753919050226805,0.450444190656814,-0.4007205817879319,-1.2365900383141604,0.6192178553179886,-1.0017132214191071,-2.0181400341120685,Low k,High β,Low k / High β
