subj,k,beta,log_k,log_beta,c_death,log_cd,log_k_z,log_beta_z,log_cd_z
116,0.4295068304366551,6.4598055838471256,-0.8451176344557486,1.8655992219619335,11.54230950816285,2.4460193717465,-0.2345663973890897,0.4780239846452694,-0.36307769461543365
117,1.6826778550560726,2.516639805590494,0.5203864857500075,0.9229246012605634,63.72349075523021,4.154553266266222,1.716502794080415,-1.6492195385372892,0.5399656530696284
118,0.8520064388147666,5.629792403023862,-0.16016119488705058,1.7280725681189826,2.0130434931950782,0.69964775258176,0.7441178753026397,0.16768075780129046,-1.2861201220037564
119,0.72469013294739,15.00053871567034,-0.3220111183212718,2.708086114835327,15.565463103836064,2.745054556347594,0.5128623304957701,2.379183458841899,-0.20502304024540577
120,0.4123841039933099,5.9211666500115,-0.8858000727002796,1.778533498739018,38.15559193772738,3.641672324648968,-0.2926945646485227,0.28155110657059285,0.2688831044778095
121,0.42990882133190184,11.219246203801925,-0.844182136193094,2.417630714575793,8.226736550015746,2.1073894050674884,-0.23322973218835516,1.7237405781204655,-0.5420601190889364
122,0.3497345539595336,4.321386015846704,-1.050580829501018,1.463576187800386,1468.5962791939742,7.292062311440811,-0.5281377633790441,-0.4291828890839341,2.1982919412601714
123,0.7664681965750485,2.3791069313791398,-0.2659620732792175,0.8667251783473167,90.34585517217828,4.503645140747179,0.5929467208499793,-1.7760393932076675,0.7244777051817427
124,5.806042745490681,7.81982352839206,1.7588992278713547,2.056661987600805,58.343316264537,4.066344806576807,3.4861232724362514,0.9091770270643377,0.4933431874647163
125,0.3572831678407042,7.902452672084569,-1.02922662438038,2.0671731761095775,22.61245906147297,3.118501040281874,-0.49762629797759295,0.9328966193660808,-0.007638391269490934
126,0.4573930002499181,7.114167301629025,-0.7822123008557262,1.9620881904874414,37.90316986467535,3.635034746181331,-0.1446855566431668,0.6957613977960955,0.26537482108983373
127,0.5987303454472274,6.9957236711342645,-0.5129439567711993,1.9452990582536807,13.47723316963246,2.6010018299382733,0.24005233071096888,0.6578749712181202,-0.281161919735649
128,0.4136400676128915,9.157108437077072,-0.8827590852070754,2.21453045604271,45.2340706259375,3.811850577802678,-0.28834951953160215,1.2654236784889106,0.35883059684191154
129,0.3929922754877167,7.600990456114039,-0.9339653225535829,2.0282785619738584,48.47540552320237,3.8810565667090384,-0.3615143753672564,0.8451268691363204,0.39540933145309876
130,0.19919798051939458,2.821622569002943,-1.613456071837875,1.0373120985620055,70.8292405685963,4.260271917818969,-1.332389122063259,-1.3910922298944488,0.5958431076036981
131,0.3155925124769413,4.367749008195556,-1.1533034150163741,1.4742477752979377,45.52440342960293,3.8182485212906423,-0.6749105697744606,-0.40510133974790447,0.36221222147587606
132,0.46085669118246986,3.5144008493958427,-0.7746681494280123,1.2568690553695476,19.52005028824652,2.9714421572237653,-0.13390626919277418,-0.8956390755589467,-0.08536617091120037
133,0.2961577377874701,4.706549311198839,-1.2168630686671127,1.5489550092048654,34.35863413112324,3.536853344612408,-0.7657263206926946,-0.2365166807643454,0.21348117014290016
134,2.3588132540555513,5.567654910434468,0.8581586341107689,1.7169739438187865,0.6552596025063726,-0.42272378216433326,2.1991207683885747,0.1426355554161211,-1.879348123704271
135,0.4219795468435817,4.462783480217026,-0.8627984333160018,1.4957726700667366,43.16542430124743,3.7650398113912287,-0.2598292006471356,-0.35652817146843396,0.33408882768913656
136,0.3559981083915613,4.465504166748129,-1.0328298616510736,1.4963821232391468,19.789095652213867,2.9851310613603133,-0.5027747007721195,-0.35515287687025343,-0.07813091859501314
137,0.20590866421727663,6.472161057723082,-1.580322586099497,1.867510064756056,41.68525988769758,3.730147586404677,-1.2850471021648477,0.4823360005501773,0.3156465879647128
138,0.6037486091667019,3.479860463303438,-0.5045973776756446,1.246992196230601,34.51131570982119,3.5412872618488516,0.25197814849982064,-0.9179272375305488,0.21582471127919226
139,1.2249386195027,5.264376081686295,0.2028907362129082,1.6609626355603504,7.183011608604639,1.9717187392134021,1.2628562864074742,0.016240201068838358,-0.6137686714732457
140,0.45584678702778175,4.6074680775531345,-0.7855985192862945,1.527678482171727,34.004541329374575,3.526494084207699,-0.14952387705370682,-0.28452938136446065,0.20800579665138416
141,1.433948256543425,3.8349166891190887,0.36043165822335965,1.3441477107551152,45.73164638248792,3.8227905392630515,1.4879550135237103,-0.6986856938683546,0.3646128991142925
142,0.24542967588380515,7.379557852437582,-1.4047448253947394,1.9987137252237863,41.57241420954315,3.727436827343024,-1.0341768524532327,0.7784107338872907,0.31421381982025
