feature,n,beta_omega,p_omega,beta_kappa,p_kappa,r2,sample,test,clinical,beta_feat,p_feat,r2_full,r2_base,delta_r2
conf_react_T,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,-0.14132672816119896,0.01813679038322183,0.04531813436681009,0.025483760122031907,0.019834374244778186
conf_react_T,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,-0.150257391866185,0.011850597562780759,0.05000064300179885,0.027580334390581718,0.022420308611217132
conf_react_T,276,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.0024421207624644847,0.9678111938717217,0.01256593180350396,0.012560009315826792,5.922487677167965e-06
conf_react_T,275,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,0.04011368045726509,0.501154546689815,0.04370523542806537,0.042104216131162775,0.001601019296902595
conf_react_T,276,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,-0.011743309033683947,0.8463450808731521,0.009952664756611052,0.00981571827671679,0.00013694647989426212
conf_react_D,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.08827850617058439,0.1461789465736406,0.009791351892436295,0.002059681084119802,0.007731670808316493
conf_react_D,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.06826043812485362,0.25951160830675485,0.015112822646145663,0.010490060518538069,0.004622762127607594
conf_react_D,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,-0.24876885529264256,2.62967694997888e-05,0.08688192903103731,0.025483760122031907,0.0613981689090054
conf_react_D,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,-0.22026217647518892,0.00020519623409853092,0.07571337045683324,0.027580334390581718,0.04813303606625152
conf_react_D,276,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.03983806151572403,0.510385037868468,0.014134571436971055,0.012560009315826792,0.0015745621211442629
conf_react_D,275,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,0.16579376342271193,0.005187181303142141,0.06937572206687936,0.042104216131162775,0.02727150593571659
conf_react_D,276,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,-0.04241763685025393,0.483974267240329,0.01160079276430337,0.00981571827671679,0.0017850744875865798
conf_state_sd,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Anxiety,0.08986141832951737,0.14094561229435307,0.00999530477882038,0.002059681084119802,0.007935623694700578
conf_state_sd,276,,,,,,conf,B_clinical_vs_feature_controlling_params,DASS21_Depression,-0.04452210052767227,0.4645069532983042,0.01243804646470048,0.010490060518538069,0.0019479859461624116
conf_state_sd,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Total,-0.07266976557461048,0.22857356498388415,0.030673457642450552,0.025483760122031907,0.005189697520418646
conf_state_sd,276,,,,,,conf,B_clinical_vs_feature_controlling_params,AMI_Social,-0.05379720892297343,0.3725155499211054,0.030424494338723962,0.027580334390581718,0.002844159948142244
conf_state_sd,276,,,,,,conf,B_clinical_vs_feature_controlling_params,PHQ9_Total,-0.006162933450092198,0.9193068851827789,0.012597335146674604,0.012560009315826792,3.7325830847811936e-05
conf_state_sd,275,,,,,,conf,B_clinical_vs_feature_controlling_params,STAI_Trait,-0.06966309917532616,0.2452490171214611,0.04687350715748417,0.042104216131162775,0.004769291026321398
conf_state_sd,276,,,,,,conf,B_clinical_vs_feature_controlling_params,OASIS_Total,-0.00605610226679666,0.9208106323907329,0.009851761276404303,0.00981571827671679,3.6042999687513344e-05
