outcome,sample,model,N,R2,F_p,predictor,beta,p
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,DASS21_Stress,0.06676417423407645,0.6127087685184173
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,OASIS_Total,-0.08307195440174123,0.4780757182965831
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,STICSA_Total,0.21249865418377684,0.08396820691339563
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,AMI_Behavioural,0.12041001616549198,0.12901951517515642
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,AMI_Social,-0.06757220794104662,0.343325667559524
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,AMI_Emotional,0.05585954570034279,0.36364855359435955
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,MFIS_Total,-0.07723998376052892,0.47513020958053526
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,PHQ9_Total,-0.025120677935511516,0.8533677121145535
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,anxiety_intercept_HvL,0.17126405406052184,0.11989282915412311
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,anxiety_slopeT_HvL,0.10995002010784545,0.2456175209139259
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,anxiety_slopeD_HvL,-0.0563004944632722,0.5105146369485808
kappa_z,confirmatory,clinical_plus_affect,281,0.10286362827009421,0.02134236143583165,confidence_intercept_HvL,-0.14434732717600854,0.21010569388817338
