test,sample,N,R2,predictor,beta,p,scale
C_clinical_full,confirmatory,281,0.0913890775222237,anxiety_slopeT_HvL,0.2521594924495087,0.005799729875563933,DASS21_Stress
C_clinical_full,confirmatory,281,0.0913890775222237,anxiety_slopeD_HvL,0.2383922734973689,0.003946790460574476,DASS21_Stress
C_clinical_full,confirmatory,281,0.0913890775222237,confidence_intercept_HvL,-0.09233700554527596,0.4170082558972176,DASS21_Stress
C_clinical_full,confirmatory,281,0.0913890775222237,confidence_slopeT_HvL,0.01709997329635355,0.8610710741828578,DASS21_Stress
C_clinical_full,confirmatory,281,0.0913890775222237,confidence_slopeD_HvL,-0.138991768203099,0.07088281218663407,DASS21_Stress
C_clinical_full,exploratory,290,0.02982009264582819,omega_z,-0.09361661434383318,0.1489567752207577,OASIS_Total
C_clinical_full,exploratory,290,0.02982009264582819,kappa_z,0.022644995466544547,0.7234622576710991,OASIS_Total
C_clinical_full,exploratory,290,0.02982009264582819,anxiety_intercept_HvL,-0.04931730174954878,0.6327331062140612,OASIS_Total
C_clinical_full,exploratory,290,0.02982009264582819,anxiety_slopeT_HvL,-0.06461288118597033,0.4796210421048308,OASIS_Total
C_clinical_full,exploratory,290,0.02982009264582819,anxiety_slopeD_HvL,-0.14617506493946567,0.05456389843502665,OASIS_Total
C_clinical_full,exploratory,290,0.02982009264582819,confidence_intercept_HvL,0.06485367826910057,0.538203025852208,OASIS_Total
C_clinical_full,exploratory,290,0.02982009264582819,confidence_slopeT_HvL,0.10441781899708905,0.22439612046720123,OASIS_Total
C_clinical_full,exploratory,290,0.02982009264582819,confidence_slopeD_HvL,0.003965473147649043,0.9595792238514165,OASIS_Total
C_clinical_full,confirmatory,281,0.0787971167685767,omega_z,-0.08123889263570307,0.19614431616381414,OASIS_Total
C_clinical_full,confirmatory,281,0.0787971167685767,kappa_z,0.014981441865384542,0.8133142189271098,OASIS_Total
