subj,gamma_i,omega_i,log_gamma,log_omega,log_gamma_z,log_omega_z
173,0.2514611718584359,2.203471838112844,-1.3804666876098906,0.7900342246930885,0.20107429068147628,0.7913063862403535
174,0.32530775606902346,1.5374349255423467,-1.1229836029680582,0.43011539495230794,0.6009866941995516,0.5235488345915225
175,0.8201351331719134,0.08382926044180442,-0.19828615575018427,-2.478973162489807,2.0371896943241232,-1.6406347682261715
176,0.8146188073053284,0.09119881432886652,-0.20503499625466218,-2.3947133827663345,2.026707665841125,-1.5779506559848762
177,0.1281420114467106,1.4351534786780986,-2.054616165635912,0.3612717972750835,-0.8459876491848487,0.4723334170096561
178,0.1204693698864592,0.7407680703287993,-2.1163597501772586,-0.3000676981870607,-0.9418853091421966,-0.019662637326128336
179,0.19415932715143863,0.1498794247934849,-1.6390761830032596,-1.8979241428443396,-0.2005876088534822,-1.2083699072843994
180,0.24871115213980358,0.7034233366706719,-1.3914630874418958,-0.35179638253685175,0.18399512335294982,-0.05814560828235976
181,0.17697028885330235,1.4604551149506009,-1.7317734200841675,0.3787481097137642,-0.34456124087702816,0.4853347224256615
182,0.1183716226991509,0.6358073401708068,-2.1339262584074943,-0.45285968579257413,-0.969168905412397,-0.1333305122252431
183,0.14787790715839014,1.8126494266964484,-1.9113682973103738,0.5947895466637937,-0.6235008034932403,0.6460563113853094
184,0.15813860705738808,1.0966170473844834,-1.844283370665818,0.09223002953949647,-0.5193071851373903,0.272182830078605
185,1.0459525082929835,0.07830028719572005,0.04492796145039274,-2.547204008102961,2.414940109713575,-1.6913943358249701
186,0.18074930568067044,0.48203992320024314,-1.7106442592747326,-0.7297283401453319,-0.3117442754620962,-0.33930382312757407
187,0.21628236062191403,0.8145652396590501,-1.5311704998713687,-0.2051007563465283,-0.0329928281922151,0.050986947340257806
188,0.15275535532884185,1.042616266431954,-1.878917622109047,0.04173319502562889,-0.5730997158505352,0.2346162799062026
189,0.1546904474464098,0.7875327114642495,-1.8663292722016436,-0.23885037077774204,-0.5535479954926755,0.02587930255350897
190,0.18840258204427623,0.8809623131411397,-1.6691742118155497,-0.1267404313262703,-0.24733466045192987,0.10928222683130914
191,0.23313531694477246,0.40861304443090346,-1.4561362345722992,-0.8949866724119092,0.08354738424039851,-0.46224589445275793
192,1.1617301786445895,0.0825675876817302,0.1499104272015822,-2.494138076412179,2.5779946663428506,-1.651916534800441
193,1.3356777960844783,0.08418319141046214,0.28943887543269897,-2.4747600046161,2.7947046578705343,-1.6375004369721322
194,0.6127297998580634,2.991537718727259,-0.4898312234852273,1.0957875424020094,1.5843735843495776,1.0187681164788365
195,0.252290636747468,1.6605956981104952,-1.3771735356073362,0.5071763922790842,0.2061890823359409,0.5808774939081118
196,0.12553812508631532,0.27464064249153997,-2.075145780995456,-1.292291790440083,-0.877873424645234,-0.7578165533632445
