subj,lam,omega,log_lam,log_omega,log_lam_z,log_omega_z
103,0.32307965350434775,5.270997863888964,-1.129856380884945,1.6622196926157242,-1.0646893672639537,0.2807096860271772
104,1.178724657865506,10.396986466089409,0.16443305557472193,2.341516001281935,0.9015827717102611,0.6802843758283051
105,0.7084402424953373,3.7083945377919063,-0.34468956709895116,1.3105990438210935,0.1281285503554066,0.07387989779285974
106,0.36033473365635293,5.061009221786331,-1.0207218638307463,1.6215659143575938,-0.8988932522380513,0.25679637952234485
107,0.3641286695727599,12.526856147463548,-1.0102479859702502,2.5278748313973454,-0.8829814371185172,0.7899040966851368
108,0.8775922264903249,6.077108912524556,-0.13057322775140714,1.8045290750799252,0.4534120462246428,0.3644187046520147
109,0.8478286969746366,6.6686019810414505,-0.1650766718812824,1.8974102399140322,0.4009947437418212,0.4190531287663258
110,2.719629143674231,6.230598517438592,1.0004955267747704,1.8294723983997765,2.1717208855306898,0.3790908301309656
111,0.8587682347872156,0.08116502211446695,-0.15225620156654598,-2.511270886756273,0.4204714796853411,-2.1742148916064736
112,0.7409424063322736,7.736346023416219,-0.2998323809546799,2.0459294861341646,0.19627515872881837,0.5064149044462628
113,0.5783696414360835,0.20894508851657256,-0.5475420966587812,-1.5656837959085137,-0.18004307336190295,-1.6180030239940706
114,0.7653654173769335,1.999425016429622,-0.2674018894297216,0.6928596474410708,0.24554325143085753,-0.28948587431200706
115,0.6433228147152472,2.4962531248463167,-0.4411086360685348,0.9147908575633554,-0.018350377495005083,-0.15894181966239607
116,0.7107144088498677,2.1490246706563703,-0.34148460518867696,0.7650140976579355,0.1329974978513264,-0.2470432882190779
117,1.333028959757427,10.262927622507299,0.2874537662099644,2.3285381423642577,1.0884746592779644,0.6726505584717887
118,1.007835236531521,0.3119434930097592,0.007804700466914413,-1.164933219723648,0.6636344719356313,-1.3822741011016384
119,1.4515738679066603,1.9725832218736925,0.37264839392597016,0.6793439639118503,1.2179015232771613,-0.2974360500817567
120,0.6153410628695927,5.635267242422719,-0.4855785911231281,1.7290445718193124,-0.08590870809875428,0.3200173195857927
121,0.9401250577856894,0.7702582792763968,-0.061742372369607744,-0.26102939274599474,0.5579792237249076,-0.8505811025281373
122,0.3906998602913068,55.69947223700629,-0.9398156345067742,4.019970671789719,-0.7759812820806385,1.6675825485951346
123,0.6795767573858839,13.143052508741095,-0.38628509020198654,2.575893292678765,0.0649370292940312,0.8181494463601912
124,4.4326366133429485,9.590079190270426,1.4889945793244264,2.2607291464494104,2.9138439763063144,0.6327640492081048
125,0.6913444396035677,3.0372152080809736,-0.3691171139894758,1.1109410456145796,0.09101845463701236,-0.04356264043662886
126,0.7758680955003597,6.1435715866941125,-0.25377275327246973,1.8154062646860385,0.26624850479180123,0.3708168693517531
127,0.93210186021424,1.7715381250096407,-0.07031317819312478,0.5718481664068762,0.5449585374513356,-0.3606670722365977
128,0.8699213455984305,7.018541762867296,-0.13935247877862506,1.9485554703723882,0.4400746919902623,0.44913770207326936
129,0.7009851950446406,6.975389659475228,-0.35526851193570697,1.9423881913047683,0.1120571184899374,0.4455099941217867
130,0.157101985891539,9.844918352797778,-1.8508600928613168,2.286955418790857,-2.1600313139880223,0.6481908291004459
131,0.3826965387462723,7.090084824752855,-0.960512930891688,1.9586973044714604,-0.807424416890629,0.4551033170228164
132,0.43136029116663066,3.1113152183714767,-0.8408115957016518,1.1350455365921288,-0.6255752927673661,-0.02938393170187993
133,0.37973939443100285,4.891066510242823,-0.9682700656618699,1.5874103799605337,-0.8192089818783478,0.2367054605999469
134,2.415801015531554,0.1045431411654488,0.8820309155596596,-2.258155458650703,1.9917505806475415,-2.025327701467391
135,0.47300763992167694,6.8321979836460915,-0.7486437385663618,1.9216464349373044,-0.4855547652957089,0.43330930826389785
136,0.4320362036015726,3.1068889759291918,-0.839245889616169,1.133621896244674,-0.6231966870498318,-0.03022134336298486
137,0.4011251896558067,6.741553983227544,-0.9134817067424886,1.9082904596587662,-0.7359750307630742,0.4254530758498104
138,0.6179220209083862,5.23402883071396,-0.48139300924567474,1.6551813124447052,-0.07955001212303507,0.2765695802476252
139,1.4112938408940858,1.2483684725507702,0.34450690129175054,0.22183747681072402,1.1751492366887986,-0.5665498526053967
140,0.5561373146956571,5.533376763985416,-0.5867400463462664,1.7107982555766124,-0.23959222381022854,0.3092844979000611
