subj,alpha_v,delta,r,p,n_trials,delta_sh_r,delta_sh_r_corrected
81,0.02499811960048718,-0.06454432519797962,-0.1345648249077457,0.3781530822090443,45,-0.3204305875777517,-0.9430400536587225
82,-0.002136353154012393,0.005515993799294175,0.01857123292762985,0.9036242834826832,45,-0.3204305875777517,-0.9430400536587225
83,0.005141612910066867,-0.01327547595632021,-0.04396006029630281,0.774316521978317,45,-0.3204305875777517,-0.9430400536587225
84,-0.006957213417783332,0.01796329693935853,0.04078350481225164,0.7902422915416055,45,-0.3204305875777517,-0.9430400536587225
85,-0.01661496421817967,0.042899292858414484,0.13716770811591159,0.36891205675371935,45,-0.3204305875777517,-0.9430400536587225
86,0.01215879916896624,-0.03139362080511766,-0.14065729726122117,0.35673777340162294,45,-0.3204305875777517,-0.9430400536587225
87,-0.0004904579066192282,0.0012663462343038023,0.0048889691843102085,0.9745729533819737,45,-0.3204305875777517,-0.9430400536587225
88,0.01767663268020726,-0.045640486018567926,-0.10933049207227316,0.47465826383233783,45,-0.3204305875777517,-0.9430400536587225
89,0.01718350264696891,-0.04436724044094421,-0.13374266087874864,0.3811003426682068,45,-0.3204305875777517,-0.9430400536587225
90,-0.013275125899010358,0.03427593982121516,0.08406226199938854,0.5829974474208178,45,-0.3204305875777517,-0.9430400536587225
91,0.037255215088197347,-0.09619174387526366,-0.2004900326668098,0.1866562057156922,45,-0.3204305875777517,-0.9430400536587225
92,-0.003126974606033406,0.008073745909020732,0.018807648429351075,0.9024032849939232,45,-0.3204305875777517,-0.9430400536587225
93,0.019608128708313924,-0.05062754543540056,-0.09771678150461124,0.5230902230741351,45,-0.3204305875777517,-0.9430400536587225
94,-0.016228168911424697,0.04190060005818678,0.1800264858670739,0.23666293908547759,45,-0.3204305875777517,-0.9430400536587225
95,0.019840470340485212,-0.05122744391190864,-0.09932203955663181,0.5162533490986924,45,-0.3204305875777517,-0.9430400536587225
96,-0.019137238481156105,0.049411722307902826,0.1087820016993196,0.4768907951395878,45,-0.3204305875777517,-0.9430400536587225
97,0.009090581112246214,-0.023489085424260356,-0.04819495256564486,0.7560542341375891,44,-0.3204305875777517,-0.9430400536587225
98,0.030907919544951677,-0.0798032348906539,-0.24180634749930788,0.10953429179555611,45,-0.3204305875777517,-0.9430400536587225
99,-0.03269366910702662,0.08441398171076557,0.13858696678354676,0.3639308659880067,45,-0.3204305875777517,-0.9430400536587225
100,0.02854314940787926,-0.07369747593017993,-0.2280677207888901,0.13185937655477248,45,-0.3204305875777517,-0.9430400536587225
101,0.04271620888792269,-0.11029185081717748,-0.23618569727671454,0.1182908849851103,45,-0.3204305875777517,-0.9430400536587225
102,-0.010933898153531223,0.028793097052732648,0.05562057174489125,0.7198931332549582,44,-0.3204305875777517,-0.9430400536587225
103,-0.00786171553934296,0.02029869176141842,0.04436436562143671,0.772295931315985,45,-0.3204305875777517,-0.9430400536587225
104,-0.007822596954441088,0.020197688857778628,0.05521778978089575,0.7186498717778115,45,-0.3204305875777517,-0.9430400536587225
105,-0.027690930445351855,0.07149707451053955,0.19211616518312935,0.2061207071459029,45,-0.3204305875777517,-0.9430400536587225
106,0.021399079767517388,-0.05525172235055723,-0.11932134676332225,0.43497728787177914,45,-0.3204305875777517,-0.9430400536587225
107,-0.002829960013220183,0.007306863968560182,0.028612987568844978,0.8519910610661576,45,-0.3204305875777517,-0.9430400536587225
108,-0.001896118521715379,0.004895715855248617,0.014645633038235533,0.92392858787136,45,-0.3204305875777517,-0.9430400536587225
109,-0.008381664593029655,0.021641183170527267,0.0395045665845071,0.7966786285094307,45,-0.3204305875777517,-0.9430400536587225
110,0.014026529672634876,-0.0362160397285246,-0.06683929643312701,0.6626605815763429,45,-0.3204305875777517,-0.9430400536587225
111,-0.018743707466853804,0.04824285710131733,0.0722262193074485,0.6412788353390404,44,-0.3204305875777517,-0.9430400536587225
112,-9.954986841742305e-05,0.0002570344963236742,0.0008095971672700617,0.9957886960896186,45,-0.3204305875777517,-0.9430400536587225
113,0.0188274515009488,-0.048611862481957945,-0.16225539994097293,0.286925896258294,45,-0.3204305875777517,-0.9430400536587225
114,0.01298023405290953,-0.03351453874316793,-0.06232911140890219,0.6841942456424194,45,-0.3204305875777517,-0.9430400536587225
115,-0.015629012517481486,0.04035359789349754,0.10671733910180574,0.48534412876132976,45,-0.3204305875777517,-0.9430400536587225
116,-0.013745522695706459,0.035490488927438786,0.09303935913373337,0.5432638632866371,45,-0.3204305875777517,-0.9430400536587225
117,0.04064867202028031,-0.10495353841301869,-0.2221298873074449,0.1424975000348551,45,-0.3204305875777517,-0.9430400536587225
118,-0.05061001593590711,0.13553038075363028,0.2294027263015597,0.13893133598581153,43,-0.3204305875777517,-0.9430400536587225
119,-0.018135426669237478,0.04873471398943039,0.10724571232022338,0.5045167405880996,41,-0.3204305875777517,-0.9430400536587225
120,-0.011965818956737097,0.030895352224362214,0.10738611184862087,0.4825974406293686,45,-0.3204305875777517,-0.9430400536587225
121,0.02725404240815128,-0.06906948761692759,-0.1493479018959206,0.3332525143224818,44,-0.3204305875777517,-0.9430400536587225
122,0.045562625193831106,-0.11764120439390825,-0.255362004536596,0.09045289014411252,45,-0.3204305875777517,-0.9430400536587225
123,-0.0021876199166280977,0.005762604389484301,0.014052454835602576,0.928734535299571,43,-0.3204305875777517,-0.9430400536587225
124,-0.022271778720799128,0.05865003288308929,0.16756329022589408,0.2769482171353265,44,-0.3204305875777517,-0.9430400536587225
125,-0.028855823171260293,0.07426958387254727,0.19401431166104674,0.2069748835306069,44,-0.3204305875777517,-0.9430400536587225
126,-0.011342743251097681,0.029286591181112733,0.06794777187043106,0.6574083222437672,45,-0.3204305875777517,-0.9430400536587225
127,-0.009187557587138252,0.023721972458594545,0.1220133174761434,0.4246108170513434,45,-0.3204305875777517,-0.9430400536587225
128,-0.0033516791045632623,0.00865392555686411,0.01808835589575777,0.9061188447196026,45,-0.3204305875777517,-0.9430400536587225
129,0.007509426546554482,-0.019389093132497287,-0.05933799133859875,0.6986143673964714,45,-0.3204305875777517,-0.9430400536587225
130,-0.04133596842445254,0.10672811519428321,0.26441630648984793,0.07921925818408716,45,-0.3204305875777517,-0.9430400536587225
131,0.00907847621177324,-0.023440327923840792,-0.08519564045670898,0.5779096443109538,45,-0.3204305875777517,-0.9430400536587225
132,-0.046471211271012045,0.1199871438554819,0.25382734031543075,0.09247373369798724,45,-0.3204305875777517,-0.9430400536587225
133,0.005129112874250676,-0.013201393581636687,-0.03276423405720382,0.8327832840910391,44,-0.3204305875777517,-0.9430400536587225
134,0.005532350873554766,-0.014284348566965253,-0.04424794086314964,0.7728776335518764,45,-0.3204305875777517,-0.9430400536587225
135,-0.007339791446658216,0.018951100866371605,0.04747559740091177,0.7567976996348446,45,-0.3204305875777517,-0.9430400536587225
136,0.009527210399746175,-0.024598944884590638,-0.05375282557787438,0.7258196521455689,45,-0.3204305875777517,-0.9430400536587225
137,-0.006986723968259693,0.018039492213129563,0.03384085768947427,0.8253366529328142,45,-0.3204305875777517,-0.9430400536587225
138,0.0258112858356817,-0.0666438937560635,-0.1776455941434908,0.24302353484683556,45,-0.3204305875777517,-0.9430400536587225
139,0.017932677097658875,-0.04630158430952886,-0.15857199315198303,0.2981538978625865,45,-0.3204305875777517,-0.9430400536587225
140,0.007619076788785736,-0.019672206462848642,-0.042670476002075255,0.7807712576196457,45,-0.3204305875777517,-0.9430400536587225
141,-0.010364200246742974,0.026760025227246288,0.0372363602637253,0.8081261368721971,45,-0.3204305875777517,-0.9430400536587225
142,-0.00881570907336327,0.0227618717877821,0.06461692478999916,0.6732389111358364,45,-0.3204305875777517,-0.9430400536587225
143,-0.013219064056304259,0.0341311899814413,0.045609748062812226,0.7660813097546947,45,-0.3204305875777517,-0.9430400536587225
144,-0.015728320682543446,0.039860033764865965,0.10245033436540453,0.5081254532908354,44,-0.3204305875777517,-0.9430400536587225
145,0.018430355058004895,-0.04758657248583246,-0.13197285939394207,0.3874906357366706,45,-0.3204305875777517,-0.9430400536587225
146,-0.0016356062481642471,0.004223081706325771,0.014618049272186375,0.9240714433322975,45,-0.3204305875777517,-0.9430400536587225
