subj,accuracy,brier,log_lik,mean_p_high,mean_choice,n_trials
225,0.8444444444444444,0.11749568906855881,-16.409124460867275,0.6208093377926329,0.6222222222222222,45.0
226,0.9777777777777777,0.05451662650659109,-9.847278330462544,0.11513153422151863,0.022222222222222223,45.0
227,0.6222222222222222,0.23864711497316587,-30.341325353744924,0.444736397573832,0.4888888888888889,45.0
228,0.7555555555555555,0.14966731629619254,-20.211863355829564,0.41720898075695234,0.4222222222222222,45.0
229,0.9333333333333333,0.0616870637084576,-9.851281292166993,0.6283425614301208,0.6444444444444445,45.0
230,0.8,0.13370593934693278,-18.74510220525979,0.33058476461318254,0.3333333333333333,45.0
231,0.8888888888888888,0.11394136618057031,-17.385482656452325,0.5737829037338811,0.5777777777777777,45.0
232,0.6444444444444445,0.1803271859171835,-24.04107007639578,0.5329226968977445,0.5555555555555556,45.0
233,0.9333333333333333,0.049359674071271745,-8.066413346589572,0.5301878602199828,0.5333333333333333,45.0
234,0.8222222222222222,0.08790898533789641,-12.170256721996786,0.2224227605840499,0.2222222222222222,45.0
235,0.7555555555555555,0.17598883075989227,-24.164264625665073,0.6174369294579461,0.6444444444444445,45.0
236,0.8222222222222222,0.11878477634444343,-16.438728078881372,0.405923217939886,0.4,45.0
237,0.8444444444444444,0.16251213412321475,-22.896381449076205,0.5163414442067806,0.5333333333333333,45.0
238,0.8,0.11031564794035562,-15.104383212865674,0.8439702155927353,0.8666666666666667,45.0
239,0.6888888888888889,0.20934023715191866,-27.744107876761564,0.4936905170678232,0.5333333333333333,45.0
240,0.7555555555555555,0.17543840290181836,-23.612659794666918,0.27920086828999574,0.2222222222222222,45.0
241,0.8444444444444444,0.09677316894914863,-14.146949706271773,0.5746766516513963,0.5777777777777777,45.0
242,0.8888888888888888,0.06704242332582125,-9.723741360173971,0.4631081742438592,0.4666666666666667,45.0
243,0.9333333333333333,0.09722357776942125,-15.194489191576418,0.2957777570884301,0.28888888888888886,45.0
244,0.8222222222222222,0.10458344705388142,-14.78326087712332,0.6000250465795397,0.6,45.0
245,0.7111111111111111,0.18590039587224358,-24.639241414603667,0.2982868545265442,0.26666666666666666,45.0
246,0.8222222222222222,0.1318641440264975,-18.51393581177048,0.23853597432646076,0.24444444444444444,45.0
247,0.6666666666666666,0.2288029080084723,-29.492682299372316,0.4052166465435153,0.4222222222222222,45.0
248,0.7777777777777778,0.14359449258009493,-21.096065124259137,0.5806674135620659,0.6,45.0
249,0.8666666666666667,0.10815400140594125,-16.024338380607226,0.6129525668190406,0.6222222222222222,45.0
250,0.6444444444444445,0.2169120543869049,-28.175721381807747,0.4919976184212795,0.5333333333333333,45.0
251,0.8888888888888888,0.07798725428999606,-11.60691872163629,0.710738325439697,0.7333333333333333,45.0
252,0.8666666666666667,0.12709481433848874,-17.99532890868787,0.6000200607519619,0.6222222222222222,45.0
253,0.8222222222222222,0.11442785896806132,-15.401145602461709,0.26201064094870175,0.26666666666666666,45.0
254,0.6222222222222222,0.21192642656205327,-27.473948617383503,0.571294922008637,0.6,45.0
