subj,k,k_sd,beta,beta_sd,alpha,alpha_sd,delta,delta_sd,delta_ols
173,1.5559852,0.9203913,389.60065,135.79343,0.007823234,0.044240136,0.43122837,0.06326871,0.464986058875036
174,1.3456075,0.7621026,284.55136,104.14858,-0.14805865,0.041241094,0.37020823,0.062481068,0.4156555259537192
175,6.803797,1.3469219,161.05672,88.41526,-0.08693645,0.036649138,0.14355157,0.053553674,0.2105587998494555
176,1.9611293,0.80685174,77.925545,39.37799,-0.05213184,0.039666813,0.20514078,0.059930064,0.2179415955000522
177,1.7889577,0.7662641,89.202644,46.28953,-0.023468116,0.039928302,0.23756126,0.059534546,0.2341052012725481
178,2.1095834,0.7376733,29.682533,19.072218,-0.13772827,0.040883686,0.06456853,0.06542497,-0.016782893708261012
179,4.651498,1.1828562,83.604904,46.628235,-0.22064179,0.038038462,0.07841726,0.054390613,0.1219955681010288
180,1.2625556,0.64230496,175.34425,73.623505,-0.16683495,0.041479148,0.31530267,0.059406757,0.29414451787397844
181,3.2584898,1.0123502,95.159256,54.429005,-0.050352406,0.038501095,0.17089354,0.05811965,0.16039373500363774
182,6.144705,1.3979602,231.41759,177.43637,0.077463835,0.040771514,0.22437914,0.06389341,0.13211779937664284
183,3.2596402,1.1920689,197.34848,95.47473,0.07544016,0.038834676,0.28627652,0.055949267,0.27508747595658123
184,23.31466,4.6091795,69.120255,51.241577,0.19977804,0.039648212,-0.007828877,0.06391067,-0.0008773022176438106
185,1.9707931,0.99629444,358.06085,133.9874,-0.22483288,0.04158857,0.3344249,0.058679275,0.3161316692739579
186,12.474644,2.0117576,55.125816,40.159363,-0.09193563,0.03839262,-0.043733753,0.06400454,-0.05904821809122235
187,4.5325785,1.3071669,318.3843,149.09033,-0.060690593,0.036240697,0.2696822,0.05218607,0.343739709803453
188,23.763601,4.680536,76.68431,61.07531,0.20505337,0.041204978,-0.0013401828,0.067611225,-0.03829931224925231
189,12.519655,2.0562813,110.198555,82.91034,0.24549858,0.03993024,0.114276975,0.063700624,0.13428389478674962
190,1.6033818,0.80467755,225.11351,93.72572,-0.2140183,0.040230438,0.30574253,0.059398282,0.3185338096557387
191,7.076159,1.4616529,246.23283,183.60556,0.013969195,0.04122107,0.20040247,0.064000756,0.1323472180655004
192,4.3562837,1.1007352,79.26582,43.969433,-0.110483035,0.0366793,0.1060121,0.05366533,0.12950430113261446
193,3.0718412,1.1517497,160.19882,75.18809,-0.32740942,0.038815722,0.16904935,0.055807866,0.22156406449920285
194,5.3500648,1.0485518,29.637527,19.458128,0.043745738,0.037110973,0.012098032,0.059357785,-0.05646715510636009
195,4.131031,1.2133203,183.82854,90.130875,0.021590695,0.036413267,0.23977046,0.05190654,0.29732361326541146
196,1.5990305,0.7150086,178.35669,78.012794,-0.09887445,0.040176224,0.30749398,0.055770136,0.3049514493756962
197,0.876142,0.4392522,58.51329,30.739948,-0.25085104,0.04251709,0.20808515,0.0659071,0.21964233638813796
198,2.6127415,1.075986,147.53534,70.25948,0.14377072,0.040029228,0.29632047,0.058417894,0.29664877950058743
199,11.09308,1.809885,120.7149,113.284874,0.21901208,0.04301929,0.1214821,0.07371289,0.06447189254229756
200,3.5841057,0.8802178,9.302715,6.756233,0.6178758,0.04267338,0.067886345,0.07044718,-0.17710150411804557
201,2.7801502,1.0895336,110.98015,60.19968,-0.16246317,0.03926628,0.17907682,0.05992891,0.2051423481325812
202,5.315979,1.1811681,81.01459,48.29755,0.037846334,0.037266456,0.12307539,0.056137044,0.11288032348913948
203,8.035352,1.410165,85.05412,59.103466,0.15335421,0.037398133,0.11132206,0.061263725,0.12584618210930387
204,1.9381377,0.83641917,153.1574,73.299934,-0.000531825,0.039561357,0.29445392,0.058469366,0.28328250071921435
205,1.8749152,0.89831746,323.23495,123.20894,0.18031178,0.039265238,0.4297158,0.056842078,0.41114261434758076
206,23.594416,5.0918355,164.43407,132.57208,-0.13057743,0.041688755,-0.0024423427,0.0714238,0.052101029004493454
207,11.342487,2.0590003,154.98006,120.57022,0.16430733,0.039280113,0.13925669,0.06635992,0.12125171371948877
208,1.6321746,0.75836825,109.445274,54.232582,0.07085631,0.04110177,0.29486737,0.061146524,0.31917944529750003
209,6.274704,1.2130164,45.03753,28.75041,0.054289956,0.037122037,0.04575237,0.057169046,0.029262024812969238
210,4.9638014,0.9555784,16.969023,12.847912,-0.1371955,0.039592057,-0.090830125,0.06550902,-0.2425717863487259
211,1.1535953,0.64016294,243.98584,95.11886,-0.19596635,0.042510465,0.355565,0.06290396,0.3906385329223738
212,1.0523503,0.54356706,125.58734,55.846478,-0.32575667,0.041976564,0.2566113,0.06310033,0.24338992370101858
213,6.2105403,1.2162598,129.27803,75.23973,0.074011244,0.03513046,0.16843118,0.05414144,0.2044049951476325
214,1.3655367,0.6773252,104.95222,50.897804,0.06042656,0.04205327,0.30746162,0.062282015,0.32058777895746104
215,7.6145,1.5150937,260.82385,181.96051,0.054641057,0.0389273,0.21088453,0.061639704,0.19241533238829905
216,6.907977,1.375564,254.25368,177.50296,0.31385964,0.03657212,0.28447038,0.060876723,0.23444065682538867
217,5.0297847,0.95018893,8.258616,6.6470394,0.28461415,0.040953368,-0.06758775,0.068296574,-0.3233698662558398
218,1.0991147,0.6006687,157.66664,65.38918,-0.12689964,0.044459876,0.3296917,0.06314462,0.36571026306420773
219,4.753932,1.3291392,189.5493,93.831116,-0.024102952,0.036260083,0.21673061,0.051321447,0.27275673064685735
220,6.283794,1.2285011,161.96693,120.85075,-0.06706857,0.03963025,0.14600046,0.06454214,0.041373590098592664
221,6.9760537,1.3010386,71.51665,45.76208,-0.009976518,0.03882077,0.06830451,0.05662122,0.07874622855915961
222,5.9977593,1.4165044,343.44452,189.3301,0.06315334,0.036236297,0.2754364,0.05273536,0.29152517452654736
223,3.1067204,0.8652672,29.055147,19.84632,0.44408637,0.039695513,0.16580805,0.0655956,0.06998302634098304
224,1.2938805,0.53435826,28.229116,18.269072,-0.10080881,0.042598266,0.11933631,0.06811076,0.03541077876689517
225,1.071478,0.6090359,152.8165,64.016464,-0.05429807,0.044855677,0.3479707,0.06618743,0.4218577317107686
226,23.437029,4.8996577,105.68172,75.51904,0.09078017,0.0382317,0.011570839,0.06502263,0.0567619586949754
227,3.6446393,1.0225976,59.03872,33.45898,-0.0016675143,0.035909057,0.11981723,0.0568306,0.14366381553126042
228,4.737158,1.368084,227.90038,113.85824,-0.13008872,0.035969533,0.20993371,0.05359511,0.19707911744023462
229,1.2617761,0.70003647,148.63152,68.73824,-0.08934176,0.04361842,0.3176479,0.0654146,0.3424190886912498
230,5.636923,1.3476284,200.69902,104.98664,0.11767878,0.0354491,0.23958424,0.049845506,0.30275967021000677
231,1.7491636,0.8019104,150.83115,62.85137,-0.15322593,0.03938993,0.2684486,0.057886418,0.28997396051085994
232,5.3086705,1.0165108,27.854202,18.466408,-0.11503695,0.038858015,-0.03455566,0.060621854,-0.12868484252016757
233,1.709457,0.8604839,422.54587,165.7602,-0.12150723,0.041026637,0.39183432,0.05838389,0.3423036755583478
234,7.4808884,1.6542835,388.43915,220.0574,0.22377512,0.03613676,0.3066127,0.053865638,0.3647364929177847
235,3.1828947,0.9290739,40.150223,27.75108,-0.066725954,0.040049866,0.06912968,0.064161435,-0.009441318084630909
236,3.12414,1.236319,323.24048,139.11626,-0.068536885,0.03650476,0.31149817,0.053811587,0.3570184064617804
237,2.2153265,0.89600617,258.88687,109.84465,0.05426804,0.037867434,0.35281098,0.053899437,0.3302854705081232
238,0.80904496,0.3960743,40.571484,23.435085,-0.1980527,0.04467291,0.18720321,0.069559716,0.19849322865887747
239,4.2569966,1.0078288,47.602276,30.413319,-0.14046748,0.038926054,0.041504443,0.06000588,-0.02867579485139558
240,9.117422,1.4422221,85.19422,52.493523,0.06443227,0.037482418,0.079618275,0.05539061,0.10840706518339721
