subj,k,beta,mean_anxiety,mean_confidence,k_z,beta_z,mean_anxiety_z,mean_confidence_z,mean_S_probe
93,2.2436,23.623363,1.6111111111111112,3.388888888888889,-0.6117405037736924,-0.743529275750463,-2.1319772419440497,0.1656721261006339,0.612698418469656
94,6.0285954,81.990654,4.333333333333333,2.1666666666666665,-0.015022140720411352,0.6438757033398564,-0.05045413670156694,-0.7423798382048545,0.612698418469656
95,5.103677,107.985794,3.888888888888889,4.333333333333333,-0.1608389080554152,1.2617866265682434,-0.39029464367993133,0.8673486439730566,0.612698418469656
96,1.1820991,18.586248,2.611111111111111,2.611111111111111,-0.7790900015901453,-0.8632627482402269,-1.3673361012427294,-0.41217912391194955,0.612698418469656
97,1.180283,21.202642,3.5555555555555554,4.0,-0.7793763163949509,-0.8010704141320354,-0.645175023913705,0.6196981082533781,0.612698418469656
98,39.650734,41.188927,4.666666666666667,3.9444444444444446,5.285630934774088,-0.3259914641338563,0.20442624353220695,0.5784230189667652,0.612698418469656
99,6.6514874,97.906456,5.222222222222222,3.2777777777777777,0.08317906042212739,1.0221982631622004,0.6292268772551626,0.08312194752740763,0.612698418469656
100,2.8057404,45.759636,4.5,3.388888888888889,-0.5231170144838199,-0.21734457790826578,0.07698605341532001,0.1656721261006339,0.612698418469656
101,0.9960399,16.41864,1.6111111111111112,4.777777777777778,-0.8084229147173325,-0.914787327853079,-2.1319772419440497,1.1975493582659615,0.612698418469656
102,3.8936644,133.67468,5.833333333333333,2.9411764705882355,-0.3516018183474183,1.8724178162817353,1.0965075743504136,-0.16695653462089508,0.6035374209305057
103,1.6533269,36.454113,4.277777777777778,4.0,-0.7047992160739466,-0.43853916689886135,-0.09293420007386237,0.6196981082533781,0.6111564685211701
104,9.926117,33.589447,4.333333333333333,2.4444444444444446,0.5994363891675785,-0.5066329880054594,-0.05045413670156694,-0.5360043917717887,0.612698418469656
105,2.9702501,172.76442,3.2222222222222223,2.2777777777777777,-0.4971814588183133,2.801590628282656,-0.9000554041474781,-0.6598296596316283,0.612698418469656
106,1.9833564,40.190742,5.055555555555555,2.888888888888889,-0.6527688587849277,-0.34971856908127064,0.5017866871382756,-0.2058036774788841,0.612698418469656
107,2.2253501,35.468933,4.166666666666667,3.5555555555555554,-0.6146176672317737,-0.4619571397717192,-0.1778943268184532,0.2894973939604731,0.612698418469656
108,5.9164114,97.49463,5.666666666666667,3.0555555555555554,-0.032708358474010026,1.0124090570309985,0.9690673842335273,-0.08197840961904487,0.612698418469656
109,6.4707546,43.10793,4.0,3.5555555555555554,0.05468587372868102,-0.28037628701197714,-0.30533451693534014,0.2894973939604731,0.612698418469656
110,23.644213,37.38168,6.944444444444445,0.8333333333333334,2.762144378014213,-0.4164906693209992,1.9461088417963255,-1.732981981083569,0.612698418469656
111,6.5752654,66.04893,5.222222222222222,4.833333333333333,0.07116238344845209,0.2649369711502187,0.6292268772551626,1.2388244475525745,0.612698418469656
112,5.15773,67.64955,4.5,2.888888888888889,-0.15231725498336157,0.3029841054198485,0.07698605341532001,-0.2058036774788841,0.612698418469656
113,4.382267,32.937992,2.111111111111111,2.2222222222222223,-0.27457183208757324,-0.5221182348820581,-1.7496566715933897,-0.7011047489182413,0.612698418469656
114,5.906569,46.104233,4.888888888888889,1.7222222222222223,-0.03426004881860482,-0.20915342177632218,0.37434649702138934,-1.0725805524977592,0.612698418469656
115,2.021442,217.86049,4.111111111111111,4.111111111111111,-0.6467645247009544,3.873535393637717,-0.2203743901907493,0.702248286826604,0.612698418469656
116,5.868889,25.479143,3.5555555555555554,3.6666666666666665,-0.040200438579672315,-0.6994169250145649,-0.645175023913705,0.37204757253369936,0.612698418469656
117,11.0013275,42.08289,5.111111111111111,0.7222222222222222,0.768947255547416,-0.30474174196802,0.544266750510571,-1.8155321596567953,0.612698418469656
118,7.6748195,91.32794,4.833333333333333,3.888888888888889,0.2445111073704213,0.8658253067160063,0.33186643364909324,0.5371479296801519,0.612698418469656
119,13.058128,38.50689,6.0,5.888888888888889,1.0932093741981204,-0.38974414862806156,1.2239477644673005,2.023051143998224,0.612698418469656
120,1.9798474,214.75755,3.111111111111111,3.111111111111111,-0.65332206546411,3.7997777404716913,-0.9850155308920693,-0.040703320332431576,0.612698418469656
121,8.038079,46.97564,4.944444444444445,1.1111111111111112,0.3017802956509548,-0.18843986132318832,0.41682656039368476,-1.5266065346505036,0.612698418469656
122,1.4669476,82.67281,3.7222222222222223,4.555555555555555,-0.7341825941364447,0.6600907205986893,-0.517734833796818,1.032449001119509,0.612698418469656
123,5.6956167,20.852423,3.888888888888889,4.166666666666667,-0.06751745017193922,-0.8093952065979394,-0.39029464367993133,0.7435233761132176,0.612698418469656
124,41.03947,45.95257,3.2222222222222223,2.7222222222222223,5.504570242503012,-0.2127584888907746,-0.9000554041474781,-0.3296289453387233,0.612698418469656
125,5.032925,61.01078,2.5555555555555554,3.7777777777777777,-0.17199321953033694,0.14517889645382934,-1.4098161646150253,0.45459775110692563,0.612698418469656
126,4.739167,124.548904,3.0555555555555554,2.3333333333333335,-0.2183052422328759,1.655495858048948,-1.027495594264365,-0.618554570345015,0.612698418469656
127,7.4432764,31.888462,6.055555555555555,4.611111111111111,0.20800749111548955,-0.5470658232103337,1.266427827839596,1.073724090406122,0.612698418469656
128,6.5729303,78.95898,3.888888888888889,4.5,0.07079424639614137,0.5718120606640523,-0.39029464367993133,0.991173911832896,0.612698418469656
129,2.8731284,177.46695,4.055555555555555,4.222222222222222,-0.5124930499079489,2.9133709323629255,-0.2628544535630447,0.7847984653998307,0.612698418469656
130,0.88659424,18.08198,4.333333333333333,3.8333333333333335,-0.8256774231583429,-0.8752493236321859,-0.05045413670156694,0.4958728403935389,0.612698418469656
131,2.169374,37.96392,3.2777777777777777,3.5,-0.6234425040498335,-0.4026506801560824,-0.8575753407751827,0.24822230467386014,0.612698418469656
132,2.9028573,26.7865,3.8333333333333335,1.7777777777777777,-0.5078061801317334,-0.668340724968745,-0.43277470705222676,-1.0313054632111462,0.612698418469656
133,2.3352945,32.135235,4.944444444444445,4.666666666666667,-0.5972845306063302,-0.5411999678136004,0.41682656039368476,1.1149991796927357,0.612698418469656
134,20.205156,29.308294,5.166666666666667,0.6666666666666666,2.21996446849915,-0.6083970563163813,0.5867468138828671,-1.8568072489434084,0.612698418469656
135,2.1083202,83.443085,3.7222222222222223,4.333333333333333,-0.633067858837367,0.6784003483364028,-0.517734833796818,0.8673486439730566,0.612698418469656
136,1.5326064,107.45545,4.111111111111111,2.388888888888889,-0.7238312442626661,1.2491802181908067,-0.2203743901907493,-0.5772794810584021,0.612698418469656
137,2.0934203,64.00394,2.6666666666666665,3.1666666666666665,-0.6354168825475828,0.21632705180018563,-1.3248560378704342,0.0005717689541813826,0.612698418469656
138,4.2957473,35.0152,6.611111111111111,1.0,-0.2882119791154562,-0.4727424856836545,1.6912284615625515,-1.6091567132237297,0.612698418469656
139,12.380641,24.623123,6.0,0.0,0.9864010717019329,-0.7197647326625316,1.2239477644673005,-2.3521083203827655,0.612698418469656
140,3.8694992,42.217266,3.3333333333333335,2.0555555555555554,-0.3554115504773055,-0.3015475911298349,-0.8150952774028869,-0.8249300167780809,0.612698418469656
141,10.1232,80.483826,0.0,1.6111111111111112,0.6305072446686526,0.6080580281657126,-3.3638990797406216,-1.1551307310709855,0.612698418469656
142,4.12311,41.757965,3.7222222222222223,2.611111111111111,-0.3154288806361129,-0.3124652897823416,-0.517734833796818,-0.41217912391194955,0.612698418469656
143,2.9567347,246.1219,3.3333333333333335,3.4444444444444446,-0.49931221104168727,4.5453161166819465,-0.8150952774028869,0.20694721538724717,0.612698418469656
144,3.2482617,89.00765,3.611111111111111,2.9444444444444446,-0.45335191364586114,0.8106714381060433,-0.6026949605414091,-0.16452858819227079,0.612698418469656
145,0.9688666,14.049388,5.333333333333333,2.2222222222222223,-0.8127068848100717,-0.9711050353430445,0.7141870039997534,-0.7011047489182413,0.612698418469656
146,18.707514,46.236336,5.277777777777778,2.5555555555555554,1.9838557317012555,-0.20601330071172164,0.671706940627458,-0.4534542131985628,0.612698418469656
147,6.5110855,45.509014,4.333333333333333,3.6666666666666665,0.06104418756664909,-0.2233019249893488,-0.05045413670156694,0.37204757253369936,0.612698418469656
148,5.827142,26.16354,6.277777777777778,2.611111111111111,-0.046782005760014275,-0.6831486386300816,1.4363480813287783,-0.41217912391194955,0.612698418469656
149,2.746516,73.43506,3.5,4.111111111111111,-0.5324539576729219,0.4405071126222355,-0.6876550872860003,0.702248286826604,0.612698418469656
150,1.3186511,20.02508,3.7777777777777777,3.7777777777777777,-0.7575620795452065,-0.8290613548455174,-0.4752547704245225,0.45459775110692563,0.612698418469656
151,2.6067111,77.18284,0.8333333333333334,2.0555555555555554,-0.5544947112957209,0.5295927724746882,-2.726698129156188,-0.8249300167780809,0.612698418469656
152,8.060347,33.126095,1.1666666666666667,0.3888888888888889,0.3052909272645284,-0.517646979932401,-2.4718177489224145,-2.063182695376474,0.612698418469656
153,22.668087,38.683334,5.722222222222222,2.611111111111111,2.6082545453201633,-0.3855500309992236,1.0115474476058228,-0.41217912391194955,0.612698418469656
154,4.721004,121.33605,5.388888888888889,0.7777777777777778,-0.22116870558824403,1.5791255218500273,0.7566670673720495,-1.7742570703701823,0.612698418469656
155,2.2685533,56.980732,4.722222222222222,2.388888888888889,-0.607806524797449,0.04938365625374921,0.24690630690450238,-0.5772794810584021,0.612698418469656
156,5.7798877,59.431114,6.611111111111111,1.5555555555555556,-0.05423181892048178,0.1076298439596904,1.6912284615625515,-1.1964058203575987,0.612698418469656
157,3.2886143,45.236732,4.444444444444445,4.055555555555555,-0.4469901787235562,-0.22977413564097332,0.03450599004302459,0.6609731975399911,0.612698418469656
158,1.3762076,17.032747,3.7777777777777777,4.722222222222222,-0.7484880868890792,-0.9001898521968211,-0.4752547704245225,1.1562742689793486,0.612698418469656
159,6.285857,25.83959,3.888888888888889,3.6666666666666665,0.02553609108839553,-0.6908490104526543,-0.39029464367993133,0.37204757253369936,0.612698418469656
160,4.6423516,16.034273,4.666666666666667,4.444444444444445,-0.2335685440076545,-0.9239238267458922,0.20442624353220695,0.9498988225462831,0.612698418469656
161,4.5405726,26.521223,4.666666666666667,3.1666666666666665,-0.24961437546974813,-0.6746464250334978,0.20442624353220695,0.0005717689541813826,0.612698418469656
162,1.6267132,17.782522,5.777777777777778,3.888888888888889,-0.7089949631807438,-0.8823675145420301,1.054027510978118,0.5371479296801519,0.612698418469656
163,9.297197,56.653347,6.277777777777778,1.0555555555555556,0.5002848517861939,0.04160163362947676,1.4363480813287783,-1.5678816239371167,0.612698418469656
164,3.3956313,50.506184,4.0,4.5,-0.4301185574109192,-0.1045179550538456,-0.30533451693534014,0.991173911832896,0.612698418469656
165,1.6719013,52.354023,2.5,3.6666666666666665,-0.7018708940044674,-0.06059436385689804,-1.4522962279873206,0.37204757253369936,0.612698418469656
