subj,k,c_death,epsilon
183,0.24147195288166073,0.21874658652031972,1.1365097126005932
184,0.24075718941847973,0.9571550960824947,0.4851960352606584
185,0.24019149000998868,0.16295306481149374,0.10538293642697856
186,0.24080639451783345,0.512409276969673,0.1897750657592567
187,0.24074581699387487,0.3303926598308349,0.4966579367548736
188,0.240246498570355,0.8488064796445841,0.5498815378293057
189,0.24039105574473996,0.5859783039075654,0.3709162254103111
190,0.2402290725599579,0.1467379199646165,0.7128621692902137
191,0.24083077347321352,0.254877182821508,0.5516287228113674
192,0.24146032379855978,0.15567587661504714,0.0937068537357393
193,0.2402551935489711,0.1699516434906167,0.10580960570782871
194,0.24109273520772853,0.23847625257307709,1.217320567125158
195,0.24048256665517256,0.2641987230737172,0.9698156992812428
196,0.24083626737378688,0.12302899468075765,0.5096407344477135
197,0.2415404199858812,0.03699148791472082,0.026694714516121255
198,0.24115173523957845,0.3638304464639415,2.1183618747453234
199,0.24167413446175162,0.3984992811764337,0.8835646195796831
200,0.24132280706742767,3.1860110337606873,6.002047795168438
201,0.24018328172356324,0.10090170277227477,0.6956070436844
202,0.24052841692420043,0.142450198394299,0.24721400435905583
203,0.2410461965599719,0.4688301436928198,1.2400348418058051
204,0.24138233995247696,0.16373868774408082,1.1316243676761915
205,0.24041108915055198,0.9333388989110156,3.4723403468114107
206,0.24028714351159192,0.9627990784497942,0.05428133680853217
207,0.24062754862316307,0.4405798433897245,0.6030995510837092
208,0.24137128624106768,0.510123904820724,3.1410192901904033
209,0.24024835143126236,0.24308399216697815,0.8334426749686963
210,0.24053579128356425,0.22386536308631974,1.1322000500925293
211,0.24124490750530092,0.12753871336624578,0.17327983053758958
212,0.2401480135977989,0.06810103648909573,0.46596057733486623
213,0.24035681908362586,0.4653041028794113,1.5017094002818965
214,0.240718537050224,0.20541953576536276,1.7710461613131296
215,0.24063134490411153,0.33449705474685754,0.13413346567164094
216,0.24233399128654345,0.5186696747971516,1.800478736052212
