subj,c_death,epsilon
274,0.9427068248159958,0.2659392167571065
275,1.084821382271123,0.10095164215423438
276,0.38735707828428945,0.05187788040774587
277,0.59166001389751,0.11055662497916195
278,0.11553643786336938,0.16312362812858983
279,0.3862288908706115,0.045548327361192346
280,1.7339381509539884,1.4769739320479223
281,0.7992483483136315,0.3204869126447297
282,0.6925672834143664,0.18023592708843347
283,1.0228051437276453,1.0683340386715188
284,3.8647801515364044,0.34237568635140897
285,0.4680531003812698,0.024588152476742772
286,0.5209297670268603,0.06703046956696423
287,0.8837649933998106,0.1393954497777587
288,1.2076110381502803,0.0720632894115581
289,0.3529988348575737,0.05459637052962516
290,0.5973028685740246,0.03705214787846239
291,0.29343959877038245,0.22424921808077744
292,2.0162685999619083,0.017638953682597887
293,0.3034378925111316,0.4884207230951402
