subj,v_pre,v_max,alpha,v_amplitude,v_tonic_mean,tonic_threat_slope,n_enc_trials,z,kappa,beta
205,0.52285486,1.1943598315370632,0.13631708114128135,0.6715049669397426,0.70766354,-0.08650653064250846,40,0.3327000304486422,0.7355283466559449,1.903215926902582
206,5.1077008e-05,0.6788151621486158,0.010000000000000937,0.678764085140805,8.329343e-07,-8.660346869303237e-23,36,0.4082052526360071,4.105241352997314,7.486901404586749
207,0.93113625,0.9311362504959108,19.99998785431558,1.1102230246251565e-16,0.92735237,0.0889606773853312,39,0.8790661861038229,2.735071659829583,0.942605707243859
208,0.76896644,1.027107696080474,0.06538819691137444,0.2581412596943655,1.1293042,-0.12148156762122997,39,0.2771012481013499,1.090663429760571,0.3670968179829638
209,0.06731139,0.8437885217049748,0.055064642949447434,0.7764771304705769,0.13052449,0.2085434831678868,39,0.2209760380346728,3.58240936977101,0.3107920994795591
210,0.0,0.9035634792507452,0.01000000000000001,0.9035634792507452,0.0,0.0,40,0.1672281731779858,3.4746696553446146,0.2350977078840239
211,0.11453316,0.8127459936354539,0.029042031098001145,0.6982128300283333,0.040681787,0.2680649398826063,41,0.2618675132651702,0.5745372121886847,1.7034872618646364
212,0.0,0.9226373917004379,0.01597789783209629,0.9226373917004379,5.481892e-06,-1.0430870482800025e-18,38,0.2766659056033236,0.4421627916263164,0.9571761747454884
213,0.40536556,0.9535305393313747,0.04098064220420223,0.5481649828528743,0.26789016,-0.2518794126808642,41,0.2538081367601669,3.076320466706562,0.7838086483944351
214,1.0776019,1.0776019096374514,19.99996850531634,2.220446049250313e-16,1.084238,0.1642835140228278,41,0.2494527438322526,0.6006992797810342,0.9899929153679168
215,0.7922099,0.7922099232678514,0.010000000007566557,4.869438186005937e-13,0.6871414,0.08431814610958142,41,0.889596646595602,1.4463097635142452,1.4280580756776475
216,0.99571687,0.9957168698424949,19.999999590170283,1.1409651001770271e-11,1.1713009,0.7322046160697945,42,0.8343952197246243,1.6147033449163588,0.7455333019805251
217,0.0,1.8370531456981243,0.01693129704111968,1.8370531456981243,0.058438595,-0.12949461117386804,35,0.2599239287270757,1.7416891326741568,0.2944661028334807
218,0.6296228,0.8230454340808873,0.1621204304919288,0.19342261704139752,0.71882135,-0.41832722723483967,41,0.2053407534947194,0.4387756985969591,1.688394754519076
219,0.61998755,0.6972092048350464,0.7721436304815668,0.07722165743743292,0.72009474,0.026062577962876175,41,0.2159077749018926,1.8935188789725403,1.5479133140037524
