rho_log_k_log_beta,rho_log_k_alpha,rho_log_k_delta,rho_log_beta_alpha,rho_log_beta_delta,rho_alpha_delta
-0.35079262,0.40284583,-0.78465044,-0.3779682,0.8192854,-0.28001723
-0.16129005,0.37575534,-0.7734052,-0.3302032,0.6972774,-0.2245454
-0.11013454,0.38761687,-0.6744714,-0.33032295,0.76353496,-0.24172702
-0.18370287,0.35985982,-0.76809645,-0.32267988,0.73244625,-0.23929562
-0.25120702,0.41994056,-0.77350605,-0.33738947,0.74485123,-0.2212026
-0.08374484,0.35727674,-0.738031,-0.27557844,0.7007488,-0.2375378
-0.1687836,0.349871,-0.73128253,-0.31411657,0.765179,-0.24619764
-0.20794818,0.41976655,-0.76868784,-0.33874702,0.72144186,-0.2268875
-0.25420868,0.35982588,-0.78461254,-0.34271684,0.7696469,-0.26777118
-0.18911907,0.37289664,-0.7261259,-0.35658678,0.79054505,-0.31639767
-0.32874027,0.43539673,-0.79164433,-0.4016649,0.8022933,-0.32635337
-0.17043927,0.37986174,-0.7390538,-0.27653828,0.76283514,-0.2515896
-0.20911123,0.34734017,-0.6735871,-0.3548234,0.8203691,-0.21763475
-0.1918117,0.38354018,-0.6887226,-0.34245515,0.7543778,-0.1324493
-0.14506197,0.34321284,-0.75173867,-0.30110955,0.74087656,-0.277563
-0.15379791,0.38079485,-0.7344112,-0.29559866,0.7381563,-0.21511516
-0.2174181,0.39979807,-0.7975209,-0.2951506,0.74309224,-0.31269103
-0.15237056,0.3512763,-0.7112946,-0.32837507,0.7511812,-0.19506542
-0.16235271,0.38023505,-0.72891176,-0.31733268,0.7697546,-0.29573774
-0.20152238,0.3830485,-0.74495184,-0.3210426,0.7448249,-0.19167808
-0.2122973,0.334564,-0.6984171,-0.30816138,0.81149817,-0.1938715
-0.13246493,0.38502097,-0.7047895,-0.32979685,0.7409842,-0.2153361
-0.07755094,0.3732938,-0.6874136,-0.2880124,0.7223425,-0.19017775
-0.12292219,0.35780147,-0.7402511,-0.30646998,0.7284525,-0.25921482
-0.12168246,0.38749903,-0.73722047,-0.3191429,0.73240024,-0.29512015
-0.15574796,0.37239075,-0.69564426,-0.33362433,0.7597718,-0.19162318
-0.14241968,0.3340476,-0.71839786,-0.32907128,0.7689143,-0.2781941
-0.16645066,0.39405978,-0.7348253,-0.36683318,0.75844336,-0.30914104
-0.18019722,0.34096187,-0.73784566,-0.29434165,0.7641151,-0.21578321
-0.06636952,0.39297584,-0.68058145,-0.27860853,0.65644634,-0.07010189
-0.18894736,0.35508108,-0.763005,-0.29923937,0.75127333,-0.25509483
-0.2543916,0.42381877,-0.7353655,-0.35241354,0.7776015,-0.21618208
-0.1206568,0.39407194,-0.7742192,-0.25222528,0.69384027,-0.26427644
-0.24117798,0.38204268,-0.68226457,-0.355603,0.8173143,-0.19215816
-0.25957206,0.36975884,-0.7305645,-0.34120274,0.78721887,-0.17172542
-0.1614896,0.35188392,-0.7577384,-0.28685132,0.72740364,-0.20842735
-0.12887381,0.34250677,-0.63561004,-0.36793673,0.80837476,-0.24732758
-0.14311428,0.35684592,-0.68853354,-0.3476329,0.79201865,-0.30740738
-0.14103818,0.34558257,-0.7406705,-0.2981945,0.73470503,-0.22408846
-0.16970715,0.38631994,-0.7309838,-0.33444813,0.7511321,-0.23947135
-0.21347857,0.40380353,-0.76020014,-0.3596398,0.73713875,-0.23314144
-0.1681324,0.4029431,-0.7462537,-0.27145898,0.707813,-0.1528875
-0.117313534,0.39847982,-0.73754054,-0.30642802,0.7128453,-0.24953875
-0.22269054,0.36888462,-0.7624206,-0.3209298,0.7691501,-0.26151997
-0.14440916,0.4341873,-0.8252895,-0.24884352,0.6292045,-0.25333995
-0.14619598,0.30483976,-0.7075449,-0.33265853,0.76624477,-0.21091524
-0.121979244,0.38464049,-0.75315595,-0.3038465,0.7132572,-0.2758779
-0.19090791,0.33190987,-0.69706374,-0.3108452,0.80641633,-0.21584964
-0.29277003,0.35680073,-0.7470379,-0.33844554,0.8234592,-0.2422093
-0.17910883,0.46087107,-0.7449369,-0.33443084,0.7210077,-0.24526352
-0.14866614,0.37144297,-0.6948008,-0.33531493,0.7422496,-0.16374111
-0.09060201,0.37716967,-0.73991615,-0.34378856,0.7025159,-0.2925235
-0.09867984,0.33621874,-0.6978314,-0.28054398,0.75392294,-0.2282776
-0.095697656,0.30851495,-0.70550495,-0.27749565,0.73440295,-0.17481351
-0.31996414,0.3880774,-0.68443036,-0.39560646,0.8640612,-0.23539461
-0.20080628,0.43112034,-0.7475461,-0.34492114,0.7198448,-0.20027032
-0.09588035,0.39238632,-0.77930826,-0.29870653,0.65765,-0.26452768
-0.25459996,0.39857036,-0.7749357,-0.35324466,0.76756644,-0.26440495
-0.18643716,0.40802217,-0.7784644,-0.29894555,0.73197466,-0.29518294
-0.10258441,0.38152006,-0.65715283,-0.31699684,0.7767275,-0.23836122
-0.24793553,0.41035163,-0.7306756,-0.36450607,0.79236263,-0.2479988
-0.15254056,0.39300275,-0.73043925,-0.33066687,0.7294496,-0.221058
-0.21578276,0.34448627,-0.6955333,-0.30569226,0.80835885,-0.174298
-0.20630729,0.38566378,-0.7416853,-0.32934093,0.73856807,-0.1745655
-0.19514772,0.37323734,-0.6636204,-0.32955706,0.80305356,-0.16731128
-0.2191354,0.3905702,-0.74035245,-0.34116638,0.7724799,-0.23604982
-0.17189677,0.36968368,-0.7360194,-0.33954194,0.74298763,-0.221129
-0.17368653,0.3431536,-0.7406916,-0.32374367,0.7645299,-0.2631002
-0.07225571,0.35922104,-0.7196568,-0.34535456,0.7184154,-0.30898076
-0.17498472,0.32036814,-0.7050126,-0.32539922,0.7933744,-0.23304564
-0.18292329,0.35811278,-0.7542224,-0.3059978,0.757565,-0.27386135
-0.079450645,0.3896132,-0.65894675,-0.2963521,0.7495293,-0.200767
-0.1261402,0.38550672,-0.7281565,-0.3020947,0.74427056,-0.28452808
-0.1634775,0.38528687,-0.71100914,-0.34441668,0.7769913,-0.28173852
-0.23307705,0.36402392,-0.75796264,-0.3141561,0.7706213,-0.22321439
-0.2528019,0.41766083,-0.76832676,-0.3653954,0.7763704,-0.30006257
-0.19748767,0.39562,-0.70206755,-0.33151463,0.7367509,-0.117598265
-0.19189535,0.36796215,-0.7649273,-0.3123904,0.7372916,-0.22824074
-0.33680657,0.36818466,-0.7528456,-0.37335464,0.8450277,-0.2697214
-0.18436806,0.38995814,-0.7525971,-0.31483018,0.70414346,-0.15528041
-0.1829547,0.3747431,-0.68366736,-0.3054725,0.7846908,-0.16426724
-0.12460663,0.33430284,-0.6603753,-0.3284714,0.7797376,-0.18939103
-0.20317262,0.43223748,-0.73612356,-0.34632513,0.75289637,-0.24115258
-0.22586165,0.42050967,-0.76092386,-0.34657234,0.7777605,-0.32584476
-0.16265619,0.3940262,-0.7544083,-0.34364063,0.73336643,-0.28254956
-0.21927713,0.38440365,-0.6950769,-0.3590041,0.8054466,-0.22708452
-0.16737697,0.41961586,-0.736132,-0.3120301,0.7502649,-0.26645166
-0.17094117,0.4257603,-0.70983666,-0.34518784,0.72997326,-0.1823743
-0.26418912,0.38153034,-0.774359,-0.3361277,0.7885856,-0.2833848
