subj,optimality_rate,overcautious_rate,overrisky_rate,mean_ev_loss,heavy_rate,survival_rate,total_earnings,heavy_rate_lowT,heavy_rate_highT,threat_sensitivity_choice
169,0.7777777777777778,0.08888888888888889,0.13333333333333333,0.17979948457970968,0.6,0.5111111111111111,83,0.7333333333333333,0.26666666666666666,0.4666666666666666
170,0.6,0.3111111111111111,0.08888888888888889,0.35695333929609435,0.3333333333333333,0.4666666666666667,57,0.4666666666666667,0.2,0.26666666666666666
171,0.7333333333333333,0.044444444444444446,0.2222222222222222,0.22546835432930162,0.7333333333333333,0.7333333333333333,129,1.0,0.5333333333333333,0.4666666666666667
172,0.8222222222222222,0.17777777777777778,0.0,0.061184913458913075,0.37777777777777777,0.8888888888888888,104,1.0,0.0,1.0
173,0.8888888888888888,0.08888888888888889,0.022222222222222223,0.04344362314590045,0.4888888888888889,0.6888888888888889,99,1.0,0.06666666666666667,0.9333333333333333
174,0.8888888888888888,0.06666666666666667,0.044444444444444446,0.09039604083811394,0.5333333333333333,0.5333333333333333,88,0.9333333333333333,0.06666666666666667,0.8666666666666667
175,0.6222222222222222,0.3333333333333333,0.044444444444444446,0.3072632759375873,0.26666666666666666,0.6444444444444445,65,0.5333333333333333,0.06666666666666667,0.4666666666666667
176,0.6666666666666666,0.13333333333333333,0.2,0.25576030940826006,0.6222222222222222,0.6666666666666666,98,0.8,0.4666666666666667,0.33333333333333337
177,0.7333333333333333,0.06666666666666667,0.2,0.21040905988065323,0.6888888888888889,0.7555555555555555,126,0.8666666666666667,0.4666666666666667,0.4
178,0.5777777777777777,0.13333333333333333,0.28888888888888886,0.40049471991549024,0.7111111111111111,0.4888888888888889,86,0.7333333333333333,0.7333333333333333,0.0
